respondent_id,Please indicate your age,Please indicate your race - Selected Choice,Please indicate your race - Other - Text,Are you Hispanic or Latino?,How would you describe the area where you grew up?,How would you describe the area in which you currently live?,In which region of the United States do you currently live?,Please indicate your annual household income,Education,Which employment status best describes you?,How would you describe your current living situation (check all that apply) - Selected Choice,How would you describe your current living situation (check all that apply) - Other - Text,Please indicate your political identification,Please indicate your gender
66,60-69,Black or African American,,No,Urban,Urban,Northeast,"$35,000 - $49,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Somewhat liberal,Female
67,50-59,Middle Eastern,,No,Urban,Urban,West,"$75,000 - $99,999",Some college or associate's degree,Working full-time,I live with family members,,Somewhat liberal,Female
68,60-69,Other,Multi,No,Suburban,Rural,West,"$75,000 - $99,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Moderate,Female
69,60-69,Black or African American,,No,Urban,Urban,South,"$75,000 - $99,999",Some college or associate's degree,On disability,I live with a spouse or romantic partner,,Moderate,Female
70,50-59,Asian,,No,Urban,Rural,South,"$50,000 - $74,999",Some college or associate's degree,Unemployed,I live with a spouse or romantic partner,,Moderate,Female
71,60-69,White,,No,Rural,Rural,West,"$15,000 - $24,999","High school graduate, GED, or equivalent",Retired,I live alone,,Moderate,Female
72,60-69,Black or African American,,No,Urban,Urban,West,"$35,000 - $49,999",Some college or associate's degree,Retired,I live alone,,Very liberal,Female
73,50-59,Asian,,No,Urban,Urban,West,"$50,000 - $74,999",Bachelor's degree,Retired,I live with family members,,Moderate,Male
74,70-79,Black or African American,,No,Urban,Urban,South,"$35,000 - $49,999",Some college or associate's degree,Working full-time,I live alone,,Moderate,Female
75,50-59,Black or African American,,No,Suburban,Suburban,South,"$75,000 - $99,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Very liberal,Female
76,60-69,Black or African American,,No,Urban,Urban,South,"$15,000 - $24,999",Some college or associate's degree,Unemployed,I live alone,,Moderate,Male
77,50-59,Asian,,No,Suburban,Suburban,West,"More than $200,000",Graduate or professional degree,Working full-time,I live with a spouse or romantic partner,,Moderate,Female
78,60-69,Black or African American,,No,Rural,Suburban,Midwest,"$75,000 - $99,999","High school graduate, GED, or equivalent",Retired,I live with a spouse or romantic partner,,Moderate,Female
79,50-59,Native Hawaiian or Pacific Islander,,No,Rural,Suburban,West,"$50,000 - $74,999",Bachelor's degree,Working full-time,I live alone,,Somewhat liberal,Female
80,50-59,Asian,,No,Urban,Suburban,South,"$50,000 - $74,999",Graduate or professional degree,Working full-time,I live alone,,Somewhat conservative,Female
81,60-69,White,,No,Rural,Suburban,South,"$100,000 - $149,999",Graduate or professional degree,Working full-time,I live with a spouse or romantic partner,,Very conservative,Male
82,60-69,White,,No,Urban,Urban,Midwest,"$50,000 - $74,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Moderate,Female
83,60-69,Black or African American,,No,Urban,Urban,Midwest,"$15,000 - $24,999",Some college or associate's degree,Retired,I live alone,,Very liberal,Female
84,50-59,Asian,,No,Suburban,Suburban,West,"$25,000 - $34,999","High school graduate, GED, or equivalent",Unemployed,I live with a spouse or romantic partner,,Moderate,Female
85,80-89,Asian,,No,Urban,Urban,West,"$50,000 - $74,999",Bachelor's degree,Retired,I live alone,,Moderate,Female
86,60-69,Black or African American,,No,Urban,Urban,West,"$50,000 - $74,999",Some college or associate's degree,Retired,I live with family members,,Somewhat liberal,Female
87,50-59,Black or African American,,No,Suburban,Suburban,South,"$10,000 - $14,999",Bachelor's degree,Working full-time,I live alone,,Moderate,Female
88,60-69,Black or African American,,No,Urban,Urban,Northeast,"$25,000 - $34,999","High school graduate, GED, or equivalent",On disability,I live alone,,Moderate,Female
89,60-69,Asian,,No,Urban,Urban,West,"$50,000 - $74,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Somewhat liberal,Male
90,50-59,Asian,,No,Suburban,Suburban,Midwest,"$35,000 - $49,999",Graduate or professional degree,Working full-time,I live with family members,,Somewhat conservative,Female
91,50-59,Asian,,No,Suburban,Suburban,West,"$50,000 - $74,999",Bachelor's degree,Working full-time,I live with family members,,Very liberal,Female
92,60-69,Black or African American,,No,Urban,Urban,South,"$35,000 - $49,999",Bachelor's degree,On disability,I live with a spouse or romantic partner,,Moderate,Female
93,50-59,Asian,,No,Urban,Urban,South,"$25,000 - $34,999",Some college or associate's degree,Working full-time,I live with family members,,Moderate,Female
94,50-59,Asian,,No,Urban,Urban,West,"$35,000 - $49,999",Bachelor's degree,Working full-time,I live alone,,Very liberal,Female
95,70-79,Asian,,No,Suburban,Suburban,West,"$100,000 - $149,999",Bachelor's degree,Working part-time,I live with a spouse or romantic partner,,Moderate,Female
96,60-69,Black or African American,,No,Rural,Suburban,South,"$15,000 - $24,999",Graduate or professional degree,Retired,I live alone,,Moderate,Female
97,60-69,Asian,,No,Suburban,Suburban,Midwest,"$50,000 - $74,999",Graduate or professional degree,Retired,I live with family members,,Very liberal,Female
98,60-69,Black or African American,,No,Urban,Urban,West,"$25,000 - $34,999","High school graduate, GED, or equivalent",Working part-time,I live with a spouse or romantic partner,,Very liberal,Female
99,60-69,Asian,,No,Suburban,Suburban,West,"$10,000 - $14,999",Bachelor's degree,Unemployed,I live alone,,Moderate,Male
100,60-69,Asian,,No,Rural,Suburban,West,"$35,000 - $49,999",Some college or associate's degree,Working full-time,I live alone,,Somewhat liberal,Female
101,50-59,Black or African American,,No,Suburban,Suburban,South,"$25,000 - $34,999",Some college or associate's degree,Working full-time,I live with a spouse or romantic partner,,Very conservative,Female
102,50-59,Asian,,No,Urban,Suburban,West,"More than $200,000",Graduate or professional degree,Working full-time,I live with a spouse or romantic partner,,Moderate,Male
103,50-59,Black or African American,,No,Urban,Rural,South,"$100,000 - $149,999",Graduate or professional degree,Working full-time,I live alone,,Very liberal,Male
104,60-69,White,,No,Urban,Urban,Northeast,"$50,000 - $74,999",Graduate or professional degree,Retired,I live alone,,Somewhat liberal,Female
105,60-69,Asian,,No,Suburban,Suburban,South,"$35,000 - $49,999",Graduate or professional degree,Working full-time,I live with a spouse or romantic partner,,Somewhat conservative,Male
106,50-59,Asian,,No,Urban,Urban,South,"$50,000 - $74,999",Graduate or professional degree,Working full-time,I live with family members,,Moderate,Male
107,50-59,White,,No,Rural,Suburban,West,"$50,000 - $74,999",Bachelor's degree,Working full-time,I live with a spouse or romantic partner,,Moderate,Male
108,50-59,White,,No,Suburban,Suburban,South,"$50,000 - $74,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Moderate,Female
109,70-79,Asian,,No,Urban,Urban,West,"$10,000 - $14,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Somewhat conservative,Female
110,50-59,Asian,,No,Urban,Urban,West,"$50,000 - $74,999",Bachelor's degree,Working full-time,I live alone,,Somewhat liberal,Male
111,50-59,White,,No,Suburban,Suburban,South,"$25,000 - $34,999",Bachelor's degree,Working full-time,I live alone,,Somewhat conservative,Female
112,50-59,Asian,,No,Suburban,Suburban,South,"$100,000 - $149,999",Bachelor's degree,Working full-time,I live with a spouse or romantic partner,,Moderate,Female
113,60-69,Asian,,No,Urban,Urban,West,"$100,000 - $149,999",Bachelor's degree,Working full-time,I live with a spouse or romantic partner,,Moderate,Male
114,50-59,Asian,,No,Urban,Suburban,Northeast,"$75,000 - $99,999",Bachelor's degree,Working part-time,I live with a spouse or romantic partner,,Moderate,Female
115,70-79,Asian,,No,Suburban,Suburban,West,"$35,000 - $49,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Moderate,Female
116,60-69,Asian,,No,Urban,Urban,West,"$50,000 - $74,999",Some college or associate's degree,Unemployed,I live with a spouse or romantic partner,,Somewhat liberal,Male
117,50-59,Asian,,No,Suburban,Suburban,West,"$100,000 - $149,999",Graduate or professional degree,Working full-time,I live with a spouse or romantic partner,,Somewhat conservative,Male
118,50-59,Asian,,No,Suburban,Rural,West,"$75,000 - $99,999",Bachelor's degree,Working full-time,I live with a spouse or romantic partner,,Somewhat conservative,Female
119,50-59,White,,No,Rural,Rural,Northeast,"$25,000 - $34,999",Some college or associate's degree,Working full-time,I live with family members,,Moderate,Female
120,50-59,Asian,,No,Suburban,Suburban,West,"$75,000 - $99,999",Some college or associate's degree,Working full-time,I live alone,,Somewhat conservative,Male
121,60-69,Asian,,No,Suburban,Suburban,West,"$75,000 - $99,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Somewhat liberal,Female
122,50-59,White,,No,Suburban,Suburban,South,"$50,000 - $74,999",Some college or associate's degree,On disability,I live with a spouse or romantic partner,,Moderate,Female
123,50-59,White,,No,Suburban,Suburban,Northeast,"$75,000 - $99,999",Bachelor's degree,Working full-time,I live with a spouse or romantic partner,,Moderate,Male
124,60-69,White,,No,Urban,Suburban,Midwest,"$35,000 - $49,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Somewhat conservative,Male
125,50-59,White,,No,Suburban,Suburban,Northeast,"$150,000 - $199,999",Some college or associate's degree,Working part-time,I live with a spouse or romantic partner,,Moderate,Female
126,70-79,White,,No,Rural,Rural,West,"$100,000 - $149,999",Graduate or professional degree,Retired,I live with a spouse or romantic partner,,Somewhat liberal,Female
127,70-79,White,,No,Rural,Rural,Northeast,"$35,000 - $49,999",Some college or associate's degree,Working part-time,I live with family members,,Somewhat liberal,Female
128,70-79,White,,No,Suburban,Suburban,West,"More than $200,000",Bachelor's degree,Working full-time,I live with family members,,Moderate,Female
129,70-79,White,,No,Urban,Urban,Northeast,"$50,000 - $74,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Very conservative,Female
130,60-69,White,,No,Suburban,Suburban,Midwest,"$75,000 - $99,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Moderate,Female
131,70-79,White,,No,Urban,Suburban,Midwest,"$50,000 - $74,999","High school graduate, GED, or equivalent",Retired,I live alone,,Moderate,Male
132,60-69,White,,No,Urban,Urban,Northeast,"$75,000 - $99,999",Graduate or professional degree,Working full-time,I live alone,,Somewhat liberal,Male
133,50-59,White,,No,Rural,Suburban,Northeast,"More than $200,000",Graduate or professional degree,Working full-time,I live alone,,Somewhat liberal,Male
134,70-79,White,,No,Rural,Rural,Midwest,"$50,000 - $74,999",Bachelor's degree,Retired,I live alone,,Somewhat liberal,Male
135,60-69,White,,No,Suburban,Suburban,Midwest,"$50,000 - $74,999",Bachelor's degree,Working full-time,I live alone,,Somewhat conservative,Male
136,60-69,White,,No,Rural,Rural,Midwest,"$35,000 - $49,999",Bachelor's degree,Working part-time,I live alone,,Very conservative,Male
137,60-69,White,,No,Suburban,Suburban,South,"$50,000 - $74,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Somewhat liberal,Male
138,70-79,White,,No,Urban,Urban,West,"$25,000 - $34,999",Some college or associate's degree,Retired,I live alone,,Somewhat conservative,Male
139,60-69,White,,No,Rural,Rural,South,"$50,000 - $74,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Very conservative,Male
140,60-69,White,,No,Suburban,Suburban,South,"$15,000 - $24,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Very liberal,Male
141,60-69,White,,No,Urban,Urban,Northeast,"$50,000 - $74,999",Graduate or professional degree,Retired,I live alone,,Moderate,Male
142,50-59,White,,No,Urban,Suburban,Northeast,"$35,000 - $49,999","High school graduate, GED, or equivalent",Unemployed,I live with family members,,Moderate,Male
143,70-79,White,,No,Urban,Urban,Northeast,"$100,000 - $149,999",Graduate or professional degree,Working part-time,I live with a spouse or romantic partner,,Somewhat conservative,Male
144,50-59,White,,No,Urban,Urban,West,"$25,000 - $34,999","High school graduate, GED, or equivalent",Working part-time,I live with a spouse or romantic partner,,Moderate,Male
145,60-69,White,,No,Suburban,Suburban,South,"$75,000 - $99,999",Bachelor's degree,Working full-time,I live alone,,Moderate,Male
146,80-89,White,,No,Urban,Urban,Midwest,"$50,000 - $74,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Somewhat conservative,Male
147,50-59,White,,No,Urban,Urban,Northeast,"More than $200,000",Graduate or professional degree,Working full-time,I live with a spouse or romantic partner,,Moderate,Male
148,60-69,White,,No,Suburban,Suburban,Northeast,"$50,000 - $74,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Somewhat conservative,Male
149,70-79,White,,No,Suburban,Urban,Midwest,"$15,000 - $24,999",Some college or associate's degree,Retired,I live alone,,Somewhat conservative,Male
150,70-79,White,,No,Suburban,Suburban,South,"$100,000 - $149,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Somewhat liberal,Male
151,60-69,White,,No,Suburban,Suburban,Northeast,"$100,000 - $149,999","High school graduate, GED, or equivalent",Working part-time,I live alone,,Somewhat liberal,Male
152,70-79,White,,No,Urban,Suburban,South,"$50,000 - $74,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Somewhat liberal,Male
153,60-69,White,,No,Rural,Rural,South,"$100,000 - $149,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Very conservative,Male
154,60-69,White,,No,Rural,Rural,South,"$25,000 - $34,999",Bachelor's degree,Retired,I live alone,,Somewhat conservative,Male
155,60-69,White,,No,Suburban,Suburban,South,"$35,000 - $49,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Somewhat conservative,Male
156,60-69,White,,No,Rural,Rural,Northeast,"$15,000 - $24,999",Graduate or professional degree,Working full-time,I live alone,,Moderate,Male
157,60-69,White,,No,Suburban,Suburban,Northeast,"$25,000 - $34,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Very conservative,Male
158,70-79,White,,No,Suburban,Rural,Midwest,"$25,000 - $34,999",Bachelor's degree,Working full-time,I live alone,,Moderate,Male
159,60-69,White,,No,Suburban,Urban,South,"$15,000 - $24,999",Some college or associate's degree,Retired,I live alone,,Moderate,Male
160,50-59,White,,No,Rural,Rural,Midwest,"$25,000 - $34,999",Some college or associate's degree,Retired,I live alone,,Moderate,Male
161,60-69,White,,No,Rural,Rural,Midwest,"$50,000 - $74,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Moderate,Male
162,50-59,White,,No,Suburban,Suburban,Midwest,"$50,000 - $74,999",Some college or associate's degree,Working full-time,I live with a spouse or romantic partner,,Moderate,Male
163,70-79,White,,No,Urban,Suburban,South,"$100,000 - $149,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Moderate,Male
164,80-89,White,,No,Rural,Suburban,South,"$25,000 - $34,999","High school graduate, GED, or equivalent",Retired,I live alone,,Very conservative,Male
165,70-79,White,,No,Suburban,Suburban,South,"$35,000 - $49,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Somewhat liberal,Male
166,50-59,White,,No,Urban,Suburban,Midwest,"$50,000 - $74,999",Graduate or professional degree,On disability,I live with a spouse or romantic partner,,Very liberal,Male
167,60-69,White,,No,Rural,Rural,South,"$35,000 - $49,999","High school graduate, GED, or equivalent",Retired,I live with a spouse or romantic partner,,Moderate,Male
168,50-59,White,,No,Suburban,Suburban,Midwest,"$50,000 - $74,999",Some college or associate's degree,Working full-time,I live with a spouse or romantic partner,,Somewhat conservative,Male
169,60-69,White,,No,Urban,Urban,Midwest,"$75,000 - $99,999",Some college or associate's degree,Working part-time,I live with a spouse or romantic partner,,Somewhat liberal,Male
170,60-69,White,,No,Suburban,Suburban,South,"$35,000 - $49,999",Bachelor's degree,Working full-time,I live alone,,Somewhat liberal,Male
171,50-59,White,,No,Suburban,Suburban,Midwest,"More than $200,000",Graduate or professional degree,Working full-time,I live with a spouse or romantic partner,,Very conservative,Male
172,60-69,White,,No,Rural,Rural,South,"$35,000 - $49,999","High school graduate, GED, or equivalent",Working part-time,I live with a spouse or romantic partner,,Somewhat conservative,Male
173,60-69,White,,No,Suburban,Suburban,South,"$50,000 - $74,999",Some college or associate's degree,Working full-time,I live with a spouse or romantic partner,,Somewhat conservative,Male
174,60-69,White,,No,Rural,Rural,Midwest,"$75,000 - $99,999",Some college or associate's degree,On disability,I live alone,,Somewhat liberal,Male
175,50-59,White,,No,Suburban,Suburban,South,"$50,000 - $74,999","High school graduate, GED, or equivalent",Working full-time,I live alone,,Moderate,Male
176,50-59,White,,No,Suburban,Suburban,Midwest,"$100,000 - $149,999",Graduate or professional degree,Working full-time,I live alone,,Moderate,Male
177,50-59,White,,No,Rural,Rural,South,"$15,000 - $24,999","High school graduate, GED, or equivalent",Unemployed,I live with a spouse or romantic partner,,Moderate,Male
178,50-59,White,,No,Suburban,Suburban,South,"$35,000 - $49,999",Bachelor's degree,Unemployed,I live with a spouse or romantic partner,,Somewhat conservative,Male
179,60-69,White,,No,Suburban,Suburban,South,"$75,000 - $99,999",Some college or associate's degree,Working full-time,I live with a spouse or romantic partner,,Very conservative,Male
180,70-79,White,,No,Suburban,Suburban,Midwest,"$75,000 - $99,999",Bachelor's degree,Unemployed,I live alone,,Moderate,Male
181,50-59,White,,No,Urban,Urban,Midwest,"$25,000 - $34,999",Some college or associate's degree,Working full-time,I live with a spouse or romantic partner,,Very conservative,Male
182,50-59,White,,No,Suburban,Suburban,South,"$100,000 - $149,999",Bachelor's degree,Working full-time,I live with a spouse or romantic partner,,Somewhat conservative,Male
183,70-79,White,,No,Rural,Rural,South,"$10,000 - $14,999",Graduate or professional degree,Retired,I live alone,,Moderate,Male
184,50-59,Black or African American,,No,Urban,Urban,South,"$15,000 - $24,999","High school graduate, GED, or equivalent",On disability,I live alone,,Somewhat liberal,Male
185,60-69,White,,No,Rural,Rural,South,"Less than $10,000",Some college or associate's degree,Unemployed,Other,,Moderate,Male
186,60-69,White,,No,Suburban,Suburban,South,"$50,000 - $74,999",Graduate or professional degree,Unemployed,I live with a spouse or romantic partner,,Somewhat liberal,Male
