annotator_id,age_range,education,gender,gender_other,identify_as_transgender,is_parent,lgbtq_status,personally_been_target,personally_seen_toxic_content,political_affilation,race,religion_important,technology_impact,toxic_comments_problem,uses_media_forums,uses_media_news,uses_media_social,uses_media_video
32,25 - 34,Bachelor's degree in college (4-year),Male,,No,No,Heterosexual,False,True,Independent,White,Not too important,Somewhat positive,Occasionally a problem,False,True,True,True
33,25 - 34,Some college but no degree,Male,,No,No,Heterosexual,False,True,Liberal,White,Not important,Somewhat positive,Very frequently a problem,True,True,True,True
34,25 - 34,Some college but no degree,Female,,No,No,Heterosexual,True,True,Other,White,Not important,Somewhat negative,Very frequently a problem,True,True,True,True
35,25 - 34,Bachelor's degree in college (4-year),Male,,No,Yes,Heterosexual,False,True,Independent,Black or African American,Somewhat important,Neutral â neither positive nor negative,Frequently a problem,False,False,True,True
36,35 - 44,Master's degree,Female,,No,Yes,Heterosexual,False,False,Independent,White,Not important,Neutral â neither positive nor negative,Occasionally a problem,False,False,True,True
37,35 - 44,Master's degree,Female,,No,Yes,Heterosexual,False,False,Liberal,Black or African American,Very important,Very positive,Very frequently a problem,False,False,True,False
38,18 - 24,Some college but no degree,Male,,No,No,Heterosexual,False,True,Liberal,White,Not important,Somewhat positive,Occasionally a problem,True,True,True,True
39,35 - 44,Master's degree,Female,,No,Yes,Heterosexual,False,False,Conservative,White,Not important,Somewhat positive,Occasionally a problem,False,False,True,False
40,35 - 44,Bachelor's degree in college (4-year),Female,,No,No,Heterosexual,False,False,Liberal,White,Not important,Somewhat positive,Frequently a problem,True,True,True,True
41,65 or older,Some college but no degree,Female,,No,Yes,Heterosexual,False,False,Liberal,White,Not important,Somewhat positive,Very frequently a problem,False,True,True,True
42,65 or older,Some college but no degree,Male,,No,Yes,Heterosexual,False,False,Conservative,White,Not too important,Somewhat positive,Frequently a problem,True,True,False,True
43,35 - 44,Master's degree,Female,,No,Yes,Heterosexual,False,True,Liberal,White,Not important,Somewhat positive,Very frequently a problem,True,True,True,True
44,35 - 44,High school graduate (high school diploma or equivalent including GED),Male,,No,No,Homosexual,True,True,Liberal,White,Very important,Very positive,Very frequently a problem,False,False,True,True
45,35 - 44,Master's degree,Male,,No,No,Heterosexual,False,True,Liberal,White,Not important,Somewhat positive,Occasionally a problem,False,True,False,True
46,18 - 24,Some college but no degree,Male,,No,No,Heterosexual,True,True,Independent,White,Very important,Somewhat positive,Occasionally a problem,True,True,True,True
47,35 - 44,Associate degree in college (2-year),Female,,No,No,Heterosexual,True,True,Independent,White,Somewhat important,Somewhat positive,Very frequently a problem,False,False,True,True
48,35 - 44,Master's degree,Female,,No,Yes,Heterosexual,False,True,Independent,White,Very important,Somewhat positive,Occasionally a problem,False,True,True,True
49,25 - 34,Master's degree,Male,,No,Yes,Heterosexual,False,True,Independent,White,Not important,Very positive,Frequently a problem,False,True,False,True
50,25 - 34,Bachelor's degree in college (4-year),Female,,No,No,Heterosexual,False,False,Liberal,White,Not important,Somewhat negative,Occasionally a problem,False,False,True,True
51,35 - 44,Associate degree in college (2-year),Male,,No,No,Heterosexual,True,True,Independent,Black or African American,Very important,Very positive,Occasionally a problem,False,False,True,True
52,35 - 44,Bachelor's degree in college (4-year),Female,,No,No,Heterosexual,True,True,Liberal,White,Not too important,Somewhat positive,Occasionally a problem,True,True,True,True
53,35 - 44,Master's degree,Male,,No,Yes,Heterosexual,False,False,Independent,White,Somewhat important,Somewhat positive,Very frequently a problem,False,True,False,False
54,35 - 44,Some college but no degree,Female,,No,Yes,Homosexual,False,True,Liberal,White,Not important,Very positive,Occasionally a problem,True,True,True,True
55,25 - 34,Bachelor's degree in college (4-year),Female,,No,Yes,Bisexual,True,True,Liberal,White,Very important,Very positive,Not a problem,False,True,True,True
56,25 - 34,Less than high school degree,Female,,No,No,Heterosexual,True,True,Independent,White,Not important,Somewhat positive,Occasionally a problem,True,True,True,True
57,35 - 44,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,False,False,Independent,White,Prefer not to say,Somewhat negative,Rarely a problem,True,True,True,True
58,35 - 44,Some college but no degree,Female,,No,Yes,Heterosexual,True,True,Independent,White,Somewhat important,Neutral â neither positive nor negative,Occasionally a problem,True,True,True,True
59,25 - 34,Some college but no degree,Female,,No,No,Heterosexual,False,True,Liberal,White,Not too important,Very positive,Frequently a problem,True,False,True,True
60,55 - 64,Master's degree,Female,,No,No,Heterosexual,False,False,Conservative,White,Very important,Somewhat positive,Occasionally a problem,False,False,True,False
61,18 - 24,Bachelor's degree in college (4-year),Female,,No,No,Heterosexual,False,True,Liberal,Asian,Not too important,Somewhat positive,Occasionally a problem,True,False,True,True
62,35 - 44,Associate degree in college (2-year),Female,,No,Yes,Heterosexual,False,True,Conservative,White,Somewhat important,Somewhat positive,Occasionally a problem,False,False,True,False
63,18 - 24,Some college but no degree,Male,,No,No,Heterosexual,False,False,Liberal,White,Somewhat important,Very positive,Very frequently a problem,True,False,True,False
64,18 - 24,Some college but no degree,Female,,No,No,Heterosexual,False,True,Liberal,White,Not important,Somewhat positive,Rarely a problem,False,False,True,True
65,45 - 54,Master's degree,Female,,No,No,Heterosexual,True,True,Liberal,White,Not important,Somewhat negative,Frequently a problem,False,True,True,False
66,45 - 54,Master's degree,Male,,No,Yes,Heterosexual,False,True,Liberal,White,Somewhat important,Very positive,Very frequently a problem,True,True,True,True
67,25 - 34,Some college but no degree,Female,,No,No,Heterosexual,False,True,Liberal,Black or African American,Not important,Somewhat negative,Very frequently a problem,True,False,True,True
68,65 or older,Some college but no degree,Female,,No,Yes,Heterosexual,True,True,Conservative,White,Very important,Somewhat positive,Occasionally a problem,False,True,True,True
69,25 - 34,,Male,,No,No,,True,True,Independent,White,Not too important,Very positive,Rarely a problem,True,True,True,True
70,25 - 34,Bachelor's degree in college (4-year),Male,,Yes,No,Other,False,False,Liberal,White,Not important,Very positive,Frequently a problem,True,False,True,True
71,25 - 34,Bachelor's degree in college (4-year),Male,,No,No,Heterosexual,False,False,Liberal,White,Somewhat important,Neutral â neither positive nor negative,Frequently a problem,False,False,True,False
72,55 - 64,Associate degree in college (2-year),Female,,No,Yes,Heterosexual,True,True,Conservative,White,Very important,Somewhat positive,Occasionally a problem,False,False,True,True
73,25 - 34,Bachelor's degree in college (4-year),Male,,No,Yes,Heterosexual,False,True,Independent,White,Very important,Somewhat positive,Frequently a problem,True,True,True,True
74,18 - 24,Some college but no degree,Female,,No,No,Heterosexual,True,True,Conservative,White,Not important,Somewhat positive,Very frequently a problem,False,True,True,True
75,18 - 24,Some college but no degree,Male,,No,No,Heterosexual,True,True,Liberal,White,Not important,Very positive,Frequently a problem,True,False,True,True
76,25 - 34,High school graduate (high school diploma or equivalent including GED),Female,,No,Yes,Heterosexual,True,True,Liberal,White,Not important,Somewhat positive,Frequently a problem,True,False,True,True
77,25 - 34,Bachelor's degree in college (4-year),Male,,No,Yes,Heterosexual,True,True,Liberal,"White,Asian",Not important,Neutral â neither positive nor negative,Frequently a problem,True,True,True,True
78,55 - 64,Bachelor's degree in college (4-year),Male,,No,Yes,Heterosexual,False,True,Liberal,White,Not important,Somewhat positive,Occasionally a problem,True,True,False,True
79,25 - 34,High school graduate (high school diploma or equivalent including GED),Male,,No,Yes,Heterosexual,False,True,Conservative,White,Not important,Somewhat positive,Occasionally a problem,True,True,True,True
80,18 - 24,Some college but no degree,Male,,No,No,Bisexual,False,True,Liberal,White,Not important,Somewhat positive,Occasionally a problem,True,True,True,True
81,25 - 34,Some college but no degree,Female,,No,Yes,Heterosexual,False,True,Conservative,White,Somewhat important,Somewhat positive,Rarely a problem,True,True,True,True
82,25 - 34,Bachelor's degree in college (4-year),Female,,No,No,Heterosexual,True,True,Liberal,White,Not important,Somewhat positive,Occasionally a problem,True,False,False,True
83,25 - 34,Associate degree in college (2-year),Male,,No,No,Heterosexual,False,True,Independent,White,Very important,Very positive,Very frequently a problem,False,False,True,True
84,35 - 44,Some college but no degree,Male,,No,Yes,Heterosexual,False,False,Liberal,Asian,Very important,Very positive,Occasionally a problem,True,False,True,True
85,45 - 54,Bachelor's degree in college (4-year),Male,,No,Yes,Heterosexual,False,True,Independent,White,Not important,Somewhat positive,Occasionally a problem,True,True,True,True
86,55 - 64,Bachelor's degree in college (4-year),Male,,No,Yes,Heterosexual,False,True,Independent,White,Very important,Neutral â neither positive nor negative,Very frequently a problem,False,True,True,True
87,35 - 44,Associate degree in college (2-year),Female,,No,No,Heterosexual,False,True,Conservative,White,Somewhat important,Somewhat negative,Occasionally a problem,False,False,True,True
88,45 - 54,,Female,,No,No,Heterosexual,True,True,Conservative,Black or African American,Somewhat important,Neutral â neither positive nor negative,Occasionally a problem,False,True,False,True
89,25 - 34,High school graduate (high school diploma or equivalent including GED),Male,,No,No,Heterosexual,False,False,Conservative,White,Somewhat important,Somewhat positive,Frequently a problem,True,False,True,True
90,35 - 44,High school graduate (high school diploma or equivalent including GED),Female,,No,Yes,Heterosexual,False,False,Independent,Black or African American,Not important,Neutral â neither positive nor negative,Frequently a problem,False,False,True,True
91,35 - 44,Bachelor's degree in college (4-year),Male,,Yes,No,Heterosexual,True,True,Liberal,White,Not important,Somewhat positive,Frequently a problem,True,True,True,True
92,35 - 44,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,True,True,Other,"White,Black or African American,American Indian or Alaska Native",Not important,Neutral â neither positive nor negative,Frequently a problem,True,True,True,True
93,35 - 44,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,False,True,Liberal,White,Very important,Somewhat positive,Occasionally a problem,False,True,True,True
94,25 - 34,Some college but no degree,Female,,No,No,Heterosexual,True,True,Liberal,White,Not important,Somewhat positive,Rarely a problem,True,True,True,True
95,65 or older,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,False,True,Independent,White,Not important,Somewhat positive,Frequently a problem,True,True,True,True
96,25 - 34,Bachelor's degree in college (4-year),Female,,No,No,Heterosexual,True,True,Independent,Asian,Somewhat important,Somewhat positive,Frequently a problem,True,False,True,True
97,35 - 44,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,False,True,Conservative,White,Very important,Somewhat negative,Frequently a problem,True,True,True,True
98,55 - 64,Some college but no degree,Male,,No,Yes,Heterosexual,False,True,Independent,White,Not too important,Somewhat positive,Rarely a problem,True,True,True,True
99,25 - 34,Some college but no degree,Female,,No,Yes,Heterosexual,True,True,Independent,White,Somewhat important,Somewhat negative,Very frequently a problem,True,False,True,True
100,25 - 34,Bachelor's degree in college (4-year),Male,,No,Yes,Heterosexual,False,False,Conservative,White,Somewhat important,Somewhat positive,Occasionally a problem,False,True,True,False
101,55 - 64,Bachelor's degree in college (4-year),Male,,No,No,Heterosexual,False,True,Conservative,White,Somewhat important,Somewhat negative,Frequently a problem,True,True,True,True
102,18 - 24,Some college but no degree,Male,,No,No,Heterosexual,True,True,Liberal,Black or African American,Very important,Somewhat positive,Not a problem,True,False,True,True
103,35 - 44,Bachelor's degree in college (4-year),Female,,No,Yes,,False,True,Liberal,White,Very important,Somewhat positive,Very frequently a problem,True,True,True,True
104,45 - 54,Bachelor's degree in college (4-year),Male,,No,Yes,Heterosexual,False,True,Independent,White,Not important,Neutral â neither positive nor negative,Rarely a problem,True,True,True,True
105,35 - 44,Master's degree,Female,,No,No,Heterosexual,True,True,Liberal,White,Not important,Very positive,Very frequently a problem,True,True,True,True
106,45 - 54,Associate degree in college (2-year),Female,,No,Yes,Bisexual,True,True,Independent,"Black or African American,American Indian or Alaska Native,Asian",Not important,Somewhat positive,Frequently a problem,True,True,True,True
107,18 - 24,Bachelor's degree in college (4-year),Male,,No,No,Heterosexual,False,True,Liberal,Asian,Not too important,Somewhat positive,Frequently a problem,True,False,True,True
108,45 - 54,High school graduate (high school diploma or equivalent including GED),Female,,No,Yes,Heterosexual,True,True,Liberal,"White,Other",Not important,Somewhat positive,Frequently a problem,True,False,False,True
109,25 - 34,"Professional degree (JD, MD)",Female,,No,No,Homosexual,True,True,Liberal,Other,Not important,Somewhat positive,Frequently a problem,True,False,True,True
110,35 - 44,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,False,True,Conservative,White,Somewhat important,Somewhat negative,Frequently a problem,False,True,True,False
111,25 - 34,Bachelor's degree in college (4-year),Male,,No,No,Heterosexual,False,True,Liberal,Asian,Not important,Very positive,Occasionally a problem,True,True,True,True
112,45 - 54,Master's degree,Female,,No,No,Heterosexual,False,False,Conservative,White,Somewhat important,Neutral â neither positive nor negative,Occasionally a problem,False,True,True,True
113,35 - 44,Master's degree,Male,,No,No,Heterosexual,False,False,Independent,White,Not important,Neutral â neither positive nor negative,Occasionally a problem,True,False,True,True
114,45 - 54,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,False,True,Liberal,White,Not too important,Very positive,Very frequently a problem,False,False,True,True
115,35 - 44,Some college but no degree,Female,,No,No,Heterosexual,False,True,Liberal,White,Not important,Somewhat negative,Frequently a problem,True,False,True,True
116,25 - 34,Bachelor's degree in college (4-year),Male,,Yes,No,Bisexual,True,True,Liberal,White,Somewhat important,Somewhat positive,Frequently a problem,False,True,True,True
117,45 - 54,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,False,True,Liberal,Black or African American,Very important,Somewhat positive,Frequently a problem,True,True,True,True
118,25 - 34,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,False,False,Liberal,White,Very important,Very positive,Rarely a problem,False,False,True,False
119,35 - 44,Master's degree,Female,,No,No,Heterosexual,True,True,Liberal,White,Somewhat important,Somewhat negative,Occasionally a problem,False,True,True,True
120,25 - 34,Bachelor's degree in college (4-year),Male,,No,Yes,Heterosexual,True,True,Liberal,White,Not important,Very positive,Frequently a problem,False,True,True,True
121,25 - 34,Associate degree in college (2-year),Female,,No,Yes,Heterosexual,False,True,Conservative,White,Very important,Somewhat positive,Frequently a problem,False,True,True,True
122,25 - 34,Some college but no degree,Female,,No,Yes,Heterosexual,False,True,Independent,White,Somewhat important,Neutral â neither positive nor negative,Occasionally a problem,False,False,False,True
123,25 - 34,Less than high school degree,Female,,No,Yes,Heterosexual,True,True,Independent,White,Not important,Somewhat positive,Very frequently a problem,True,False,True,True
124,45 - 54,Associate degree in college (2-year),Female,,No,Yes,Heterosexual,True,True,Conservative,White,Not important,Very positive,Occasionally a problem,False,False,True,True
125,25 - 34,Master's degree,Female,,No,No,Heterosexual,True,True,Liberal,"American Indian or Alaska Native,Asian",Not important,Somewhat positive,Very frequently a problem,True,True,True,True
126,35 - 44,Bachelor's degree in college (4-year),Male,,No,Yes,Heterosexual,False,False,Conservative,White,Somewhat important,Somewhat positive,Frequently a problem,True,True,True,True
127,25 - 34,Associate degree in college (2-year),Female,,No,Prefer not to say,Heterosexual,True,True,Other,White,Not important,Very positive,Rarely a problem,True,True,True,True
128,35 - 44,Some college but no degree,Male,,No,No,Heterosexual,False,True,Independent,White,Not important,Somewhat positive,Rarely a problem,True,False,True,True
129,25 - 34,High school graduate (high school diploma or equivalent including GED),Female,,No,No,Heterosexual,True,True,Independent,Asian,Not important,Very positive,Very frequently a problem,True,False,True,True
130,25 - 34,Some college but no degree,Male,,No,Yes,Heterosexual,False,True,Liberal,White,Not important,Neutral â neither positive nor negative,Occasionally a problem,True,False,True,True
131,25 - 34,"Professional degree (JD, MD)",Male,,No,Yes,Heterosexual,False,True,Independent,White,Not important,Somewhat positive,Occasionally a problem,True,True,True,True
132,35 - 44,Bachelor's degree in college (4-year),Female,,No,No,Heterosexual,False,True,Liberal,Black or African American,Somewhat important,Somewhat negative,Occasionally a problem,False,True,True,True
133,25 - 34,Some college but no degree,Male,,No,Yes,Heterosexual,True,True,Independent,White,Not important,Neutral â neither positive nor negative,Frequently a problem,True,True,True,True
134,45 - 54,Bachelor's degree in college (4-year),Male,,Yes,No,Bisexual,True,True,Independent,White,Not important,Neutral â neither positive nor negative,Frequently a problem,True,False,True,True
135,18 - 24,Bachelor's degree in college (4-year),Female,,No,No,Bisexual,True,True,Liberal,"White,American Indian or Alaska Native",Not too important,Somewhat positive,Frequently a problem,True,False,True,True
136,25 - 34,Associate degree in college (2-year),Female,,No,No,Heterosexual,False,False,Conservative,Hispanic,Very important,Neutral â neither positive nor negative,Frequently a problem,True,False,True,True
137,18 - 24,Some college but no degree,Female,,No,No,Homosexual,False,True,Liberal,Black or African American,Not too important,Somewhat negative,Occasionally a problem,True,True,True,True
138,25 - 34,Bachelor's degree in college (4-year),Male,,No,No,Heterosexual,True,True,Liberal,White,Not important,Somewhat positive,Frequently a problem,True,True,True,True
139,25 - 34,Some college but no degree,Female,,No,No,Heterosexual,False,False,Liberal,"White,Black or African American",Somewhat important,Very positive,Occasionally a problem,False,False,True,True
140,35 - 44,Bachelor's degree in college (4-year),Nonbinary,,Yes,No,Bisexual,True,True,Independent,White,Not too important,Neutral â neither positive nor negative,Very frequently a problem,True,False,True,True
141,25 - 34,Bachelor's degree in college (4-year),Female,,No,No,Heterosexual,False,True,Independent,Asian,Not too important,Neutral â neither positive nor negative,Frequently a problem,False,False,True,True
142,35 - 44,Bachelor's degree in college (4-year),Female,,No,Yes,Bisexual,False,True,Liberal,White,Not important,Neutral â neither positive nor negative,Very frequently a problem,True,False,True,True
143,45 - 54,Associate degree in college (2-year),Male,,No,Yes,Heterosexual,False,True,Conservative,White,Very important,Somewhat positive,Very frequently a problem,True,True,False,True
144,45 - 54,Some college but no degree,Female,,No,No,Bisexual,True,True,Liberal,White,Somewhat important,Neutral â neither positive nor negative,Occasionally a problem,False,True,True,True
145,25 - 34,Bachelor's degree in college (4-year),Female,,No,No,Heterosexual,False,False,Liberal,White,Not too important,Somewhat positive,Rarely a problem,True,True,True,True
146,35 - 44,Some college but no degree,Male,,No,Yes,Heterosexual,False,True,Independent,Other,Somewhat important,Somewhat positive,Occasionally a problem,True,True,True,True
147,25 - 34,Some college but no degree,Female,,Yes,Yes,Bisexual,True,True,Liberal,White,Very important,Very positive,Frequently a problem,False,False,True,False
148,35 - 44,Master's degree,Male,,No,Yes,Heterosexual,True,True,Other,White,Very important,Somewhat positive,Frequently a problem,False,False,True,True
149,25 - 34,Bachelor's degree in college (4-year),Male,,No,No,Heterosexual,False,False,Liberal,White,Not important,Somewhat positive,Occasionally a problem,True,False,True,True
150,25 - 34,"Professional degree (JD, MD)",Male,,No,Yes,Heterosexual,True,True,Liberal,Black or African American,Somewhat important,Very positive,Occasionally a problem,False,True,True,True
151,45 - 54,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,False,True,Independent,White,Not important,Somewhat positive,Occasionally a problem,False,True,True,True
152,18 - 24,High school graduate (high school diploma or equivalent including GED),Female,,No,No,Heterosexual,False,False,Independent,Asian,Not important,Somewhat positive,Frequently a problem,False,True,True,True
153,35 - 44,Less than high school degree,Female,,No,Yes,Heterosexual,True,True,Liberal,Black or African American,Not too important,Somewhat positive,Rarely a problem,False,False,True,True
154,35 - 44,Bachelor's degree in college (4-year),Male,,No,Yes,Heterosexual,True,True,Liberal,White,Not important,Somewhat positive,Very frequently a problem,True,True,True,True
155,35 - 44,Master's degree,Male,,No,No,Heterosexual,False,True,Conservative,White,Very important,Very positive,Rarely a problem,True,True,True,True
156,35 - 44,Bachelor's degree in college (4-year),Male,,No,Yes,Heterosexual,True,True,Independent,"White,Asian,Native Hawaiian or Pacific Islander",Not important,Very positive,Frequently a problem,True,True,True,True
157,25 - 34,Master's degree,Female,,No,No,Bisexual,True,True,Liberal,White,Not important,Somewhat positive,Occasionally a problem,True,False,True,True
158,35 - 44,Master's degree,Male,,No,No,Heterosexual,False,True,Independent,White,Not important,Very positive,Occasionally a problem,True,True,False,True
159,18 - 24,Some college but no degree,Male,,No,No,Heterosexual,True,True,Liberal,Native Hawaiian or Pacific Islander,Somewhat important,Very positive,Occasionally a problem,True,True,True,True
160,35 - 44,"Professional degree (JD, MD)",Male,,No,Yes,Heterosexual,False,True,Liberal,White,Not important,Somewhat positive,Frequently a problem,True,False,True,True
161,35 - 44,High school graduate (high school diploma or equivalent including GED),Male,,No,Yes,Heterosexual,False,True,Liberal,White,Not important,Somewhat positive,Very frequently a problem,True,True,False,True
162,25 - 34,Associate degree in college (2-year),Male,,No,Yes,Heterosexual,False,False,Independent,White,Somewhat important,Neutral â neither positive nor negative,Occasionally a problem,False,True,True,True
163,35 - 44,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,False,True,Liberal,White,Somewhat important,Somewhat positive,Frequently a problem,True,True,True,True
164,25 - 34,Bachelor's degree in college (4-year),Male,,No,No,Heterosexual,False,False,Independent,Black or African American,Somewhat important,Somewhat positive,Rarely a problem,True,True,True,True
165,35 - 44,Bachelor's degree in college (4-year),Male,,No,No,Heterosexual,False,True,Liberal,White,Somewhat important,Somewhat positive,Frequently a problem,False,True,True,True
166,35 - 44,Some college but no degree,Female,,No,Yes,Heterosexual,True,True,Liberal,Black or African American,Very important,Very positive,Occasionally a problem,False,True,False,False
167,45 - 54,High school graduate (high school diploma or equivalent including GED),Female,,No,Yes,Heterosexual,False,True,Independent,White,Not too important,Somewhat negative,Occasionally a problem,True,True,True,True
168,45 - 54,Some college but no degree,Male,,No,No,Heterosexual,False,True,Conservative,White,Very important,Somewhat positive,Occasionally a problem,False,True,True,True
169,45 - 54,Bachelor's degree in college (4-year),Female,,No,No,Bisexual,False,True,Other,White,Not important,Somewhat positive,Occasionally a problem,True,True,True,True
170,45 - 54,Master's degree,Female,,No,No,Other,False,False,Liberal,White,Not important,Very positive,Occasionally a problem,True,True,True,True
171,25 - 34,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,False,True,Liberal,White,Very important,Very positive,Occasionally a problem,False,True,True,True
172,25 - 34,Bachelor's degree in college (4-year),Female,,No,Yes,Heterosexual,False,True,Liberal,American Indian or Alaska Native,Very important,Somewhat positive,Occasionally a problem,True,False,False,True
173,25 - 34,Bachelor's degree in college (4-year),Male,,No,Yes,Heterosexual,True,True,Independent,White,Somewhat important,Very positive,Very frequently a problem,True,True,True,True
174,25 - 34,Some college but no degree,Male,,No,No,Heterosexual,True,True,Independent,White,Not too important,Very positive,Occasionally a problem,True,False,True,True
175,25 - 34,Bachelor's degree in college (4-year),Female,,No,No,Bisexual,True,True,Liberal,White,Very important,Somewhat positive,Rarely a problem,False,False,True,False
176,35 - 44,Bachelor's degree in college (4-year),Female,,No,Yes,Bisexual,True,True,Liberal,White,Not important,Very positive,Frequently a problem,True,False,True,True
177,25 - 34,High school graduate (high school diploma or equivalent including GED),Male,,No,Yes,Heterosexual,False,False,Independent,White,Not important,Somewhat positive,Occasionally a problem,False,False,True,True
