respondent_id,anxiety_score
R_3j7Zcj1HwBIPwnh,50
R_2sYoANdkeH6pmGo,54
R_2zShH7VGk0GGR66,59
R_2QJNKJaWmqq6kwF,60
R_3HIapLftZBPYnAy,52
R_2pQqZemJmfJIvsl,45
R_SOFQGnRKl5vtXEJ,66
R_2EF3vKUtta1FtIp,46
R_3CD8xhELY6ljRag,42
R_tPsLG8zd5VW52lX,45
R_2VwgdQkXVXZvLtV,32
R_3kueplR9HrWQKsd,44
R_25yYH3YI1G0qX0U,47
R_2WZGXdVNmH1FQdD,48
R_1pnh5a1HstQwLq3,42
R_3n2Vz7kaTRYcaVE,67
R_2vchewiQt6q9JkW,40
R_2VBGtv8BBKaiTxf,50
R_25uqjSeR0q8dBQX,47
R_3qJqlTwFvFQDb5B,42
R_2xW6MrDNZ5z3hzZ,51
R_3EMv1gfBOpWWGXS,54
R_3rHWRLTUbZHEfEG,47
R_2AFqOYq7BriHOxj,54
R_1lrBI2UWgzN19gQ,56
R_2P103JxUBTLJsJL,76
R_5vAQKhiR1QPh0LD,28
R_1doYqp2AI2rAhCF,51
R_3ExT0w5OgO8v2eb,41
R_322Ce4wkzK4aJbv,57
R_OOOdJ9PpboAPnSp,60
R_sXXjYWUyizJkXSx,32
R_1Lk63peQdqZUCJx,42
R_2pSnVN0afd7ZR9d,77
R_1rl8sztSokf9r56,28
R_1itxF4sqEABXx4y,43
R_12yfrKcM2nKq4Qt,66
R_31RfrRk2RhASQq4,57
R_1LUtj7dzSNmZ7Gn,45
R_Zq3AdwcLMTljc3L,58
R_1oegnHjqdUnBF9Q,45
R_yryBGY1HcMufVDP,41
R_31ZstWgGjMF0hUE,68
R_AB5EmgZmdeiU6Ln,50
R_1PRCfToAbB5NOji,51
R_33fe3hIj5qLKPlE,60
R_3dOZlSVbZvXOUPT,65
R_2UVfNDr3TyrJCk7,49
R_agTjV7Rf1V5Jqet,46
R_3ewxXXE35ZGAlV6,37
R_2cCNt7Ep8p2GkNM,49
R_3PzgeEK03z4fjSD,41
R_2rip0l21B5XfkBO,40
R_1IRBNnljNA7ZWtP,42
R_vkLAexhj1QLknDj,64
R_2uKCItQYjkS62Lf,39
R_1K3YmDRsPPcmH12,53
R_1jd09gr9IlIJo72,49
R_2wNNYzW8Z7SWUZW,23
R_3JwxJex5UA9c9lr,59
R_1dyq5MsaLv9kEMH,55
R_2rA6YuJlb4qHN04,61
R_3I00O7tcFvXRNKJ,31
R_1dGkte1GBdZ11rI,34
R_2P09pxi3f97SjmC,67
R_3n7BLYhrPW9bSHA,42
R_1Lh5wiCLd7V7vbf,56
R_3EzZkQSBdA9zjRf,62
R_1q4JABFtPQGVYhW,34
R_V23HpjP1cmZge8V,36
R_2CNhYP2TeQS36KT,55
R_cGdm8M6jpcp5H4B,25
R_3szTSpwkG46AEiV,46
R_d5aRgKeMTlXFHhv,48
R_OvBakwyizb6i5d7,45
R_TiPdho1WDmeWzsd,42
R_d0tlwpZR45ArZSx,43
R_2eVXbf8y0crxGH9,50
R_1DYyN29PYh5nIbi,73
R_1irrsqBRyVmbHSw,45
R_2vYZYBg3WNdSun8,43
R_sp7WQOBpgXWCkaB,38
R_0jN47ivyKyPqRsR,58
R_1MNdoYoj0sN2MlY,59
R_2EFzZE1UDJW0Amj,46
R_2OVaBJXXddnSBIf,44
R_3MGVb5smO6BpE7l,47
R_YW8obmkRjjyHzC9,60
R_23fTZqfko2DWrZt,43
R_yQpXk9lB6Ln0grn,51
R_31i1z9lvzS6G8km,48
R_1jVyhfvWjyVuL6R,38
R_Xk72NFHR8l4nmMh,58
R_2amFDiZDVmXneBt,58
R_3Rrduwe5Vhu9Yzd,65
R_1OYKtmmBMduEhcZ,35
R_PRo8sLkI8BXLAKB,35
R_sTBsVGLwabVrOEx,45
R_3FJ97NiJ11iJcX6,40
R_3G6t4Bd1NUPNqHP,48
R_3LZsrKIRL7Av93N,35
R_2RV86oZxMwZIi2s,49
R_1GTTynTKLq4ZvgV,40
R_ZleX6mnkJsQUwUx,33
R_3m9Jp7m3gJAYkhy,50
R_1rHOa3UG1jf3rGR,58
R_30v3MUFNicNhmO1,32
R_33se6usaqfdgUBH,33
R_1E67DmE8omsc7wP,69
R_1CrsMtyoU88EXRo,58
R_1LqcDv20i8WqPqt,47
R_1JF2bv4lpxes8GS,53
R_3PdwXwZUrYDep2z,35
R_cNKaiS8pmarozWF,35
R_6PuFPppbaoCafFT,55
R_xDc2ppuAnM4A0vf,59
R_3h5Eu9LolUGWSdk,40
R_1mmYDBqAHnsIKDb,48
R_O23zOheOKtaTSbD,58
R_1FG4CiXKJiLJuBR,49
R_2dhzqLemzauLUXW,37
R_1dEvzIhnkYpwUPv,45
R_3O7V8xNaVWzrrBm,23
R_1FCzqe7BOF54jpQ,39
R_1OSIjZASflMEDF3,66
R_30nI9buMjsI2mYF,64
R_2fD3Kz06l0rBQbq,51
R_2ASG2R1PEjw1S4G,67
R_ZIEHldRJctpAunn,31
R_2rql4Xmz56iTXtH,50
R_1NqtSyq3t6Ny5Kk,64
R_2YafdnkYwHb0rf6,61
R_PIr5uOjUNXZFH5D,51
R_3JCKHPxrm3blrAR,60
R_3EnDhjYxbZIt58X,42
R_1CwiWdyzMy1fvSC,48
R_12tjM08FxhX9zA8,29
R_21gHrMaGSxvPj71,58
R_24Pp5aw5bWHVAGY,47
R_3WZF2V7wy17iTuh,50
R_3fDZpG1l1x60cez,41
R_10MWVyxwJ8R3hRc,42
R_OqbT0bDOilLeH1D,65
R_1r6swVVguXANY6N,46
R_u1D7i9LDCcKc5Tb,61
R_3lxHk3pVvThxJfP,38
R_1gOzPEVw8L2rKF4,37
R_W1nlmKnHz20Ob3r,47
R_uyut5hFckkwckZX,54
R_r7QvEEt34le4JFL,51
R_1Lh4K1EjpnRs3iE,63
R_a2BO3N9sJSrZQdP,51
R_1P6RntyUKpVnGCe,26
R_2bI8608QhIEuTYk,58
R_cBxniCt7uDhFKZb,39
R_6Yetv2N61B1KEDv,43
R_Auhyw8n8GtOLHWN,48
R_Y5BucjUgKLYVCSJ,45
R_2Ys55e6Q3ourhWQ,52
R_23fctseOQzdho8A,47
R_3dQy70InlDe4mf4,31
R_RCgfXXZOdTDxiKZ,53
R_1IlNvDw1fku0ldx,28
R_2aJNiKhqNUXYjWd,43
R_3QGaeiPkGvOtwA2,44
R_3HZhk55eJufcsHf,28
R_2coVUnItFrWEjWH,58
R_1N38C6sdUjGbqBq,55
R_pGxRt1jpavVADlL,46
R_O0A0G6mZvQ2Sqk1,29
R_2c8FAkUsY3g4xFE,44
R_1je995RysQYoPNO,56
R_8q9Ygy4QOv9M373,40
R_0B1wpzYwEJyRopH,44
R_1H8nypLiZmnR93l,38
R_1gONmkM3V1Rinhv,51
R_31HSh2SFE1F5VzC,58
R_2AFFwgHfnNWrfdP,55
R_3kBoKEiIKeucBIi,59
R_0Du2zxNGDtmSP3r,48
R_3PBlRURkU9PnKdT,66
R_1ghB08XGJSsLgVr,68
R_3fpbi7oUC0Kb8dD,40
R_28AFvTe0P90mFmG,75
R_3Pbin7eZMDTYt0I,48
R_3FW3mUrZQFdUDMZ,42
R_3NUJor4OrgeHjyN,44
R_3R4yB86C1q3ijlw,42
R_3nDHr6bj0yqE17v,31
R_3ezc3XwFDfEaXdl,54
R_szL0bXXnx4nnt8l,45
R_2yeDCbGccxEo5HB,23
R_1FKyHE6KlUtyjq6,35
R_9SSXrcdlGd1WpCV,30
R_NVbRS571VwykFiN,56
R_6YfnHmm4kJ4ipgt,55
R_1CJvz7qtt78Or5b,54
R_1jcwRAAn5Tl7d0U,48
R_3oHIQSneTWqoqg7,46
R_24CrFdmSrOPf7mU,28
R_1eIAw31RhTtJDxU,51
R_1j97coM0uhz5umw,76
R_3CJZ8v5PVIGXmB6,62
R_0TikC0y7wO1euNX,60
R_2QEAEbF1PMitn8s,58
R_qPEdVQN41kRWdkB,46
R_2cCLWt9pvpBJd6f,76
R_3MGP9toO9FB1YSy,31
R_3iD4mjQ5GUBXsLX,40
R_3hlTH8Q3bBro5ki,56
R_3qfckfab5yzIwhZ,47
R_1LpNZVAPKKivI1e,56
R_1gtnb6hmuZ6ICEA,42
R_2ZTyHY6KjQhXCzs,47
R_2S9yA5xRYGbI7sq,58
R_9vpUD5kY83R7n5D,36
R_6nZyoAkJlcIVobL,42
R_3jeABW5jJnAftB8,63
R_2qyqPAm16Pb5kVe,48
R_3P5FDlmVbdJ7Kn3,37
R_1OiTA388VUshmQt,54
R_bCbeKzyQsdbzR2F,54
R_3O7hlyZWuLVerQB,56
R_3n5Z2koSHvfL0bV,47
R_wZ7hJKrgW2OlBFT,43
R_2sTP5cGG5iWqah4,31
R_338WI4hxtG2Ri8j,50
R_3MGbwN6Tg3IAFmw,42
R_3oXE1l2u5h1QEQV,60
R_3qmue8vWUbSWMuw,45
R_3s7C7lCMEKWloJg,68
R_WjkSfPFIlIqxmEh,52
R_3fdtehgot1BxM0I,53
R_26nqwtkjA3Kiv6h,33
R_1gnJA6HJK9Mik5j,37
R_2Pe4vbb9kuSw1H0,53
R_71BJAD7sk8ovxPb,63
R_2fkRbqPpzfP8NBx,54
R_1jBSV44Q7zd6s05,42
R_3CN5F43xJQJe7nD,39
R_AEEMhtm2da2nFL3,40
R_1et3d1K62RgoeK9,41
R_1duaV1LE9TOnzYB,60
R_afprOR5Hpfs9YBP,23
R_3emM9XK07tGm5ie,43
R_3LefVPsILBOVi9Q,43
R_p9JbFNjxbAWOA4p,50
R_1gRqIxYPQ4kJAdg,48
R_2dRTD80G0KyBIQm,48
R_Ckpav25wXJuefDP,37
R_1Q5e81duDXvXxKj,39
R_23UXoxB6eugEKJd,68
R_PAnCNf9hluOm7bX,35
R_3p5bMuwpcWpR6NB,41
R_264NBWeFENs9tQd,65
R_1Fs3sPZPdKfZayh,56
R_BxJsUGaZsA4zBbb,53
R_2yjgCV6xNUsmoGp,44
R_4JHwhsAY3UAmHLj,50
R_2D2KP6HOSU7CcQe,50
R_poWOMbBbjDTxZE5,45
R_ssZJMNXJJlgNmPD,64
R_2uVvqfO181P4rWW,23
R_3HoAQUvlXCfzBGj,20
R_3s17FTjdxpfUMu4,55
R_1loeTToccQsJISj,60
R_3HiPsiNbHdmGIW1,38
R_2bQsNPugROzgqpC,48
R_1gIyU2UsnpUycCy,47
R_1JEnnAglvBnu9FO,46
R_1QfP0XLOgeNXfwX,52
R_3fQ3xNxdcYsnn3B,68
R_3qD6JhhkFGjonrv,49
R_O3R80P2RYjB0UcV,40
R_sNefZ2cS6vsSEcV,38
R_WfcnY7pMKYuldVT,43
R_3kjpeq5scniCEgv,43
R_3koLhzC8bzjJxzC,37
R_3g8bwQ6WkZKD6uO,45
R_UoHRdb6K7s4foxb,42
R_3h9m5CoCzxiiIzQ,38
R_3QDf4iaAa56WcZE,53
R_RDKokrIC0yh44zT,46
R_2ykd9U8GslKbMXw,43
R_1GCy6rr9BbGNnEq,50
R_3hGvmKftj1sMOtK,41
R_3dQi4ZmdHtV5mOi,66
R_9zRhQloW16ikRvr,36
R_2EoZ733WKg6doAv,41
R_WjRbrusctR07CXD,37
R_1qUP0iCEfaCcS0S,60
R_2qkDogvajPsvMiV,70
R_8waVLA66bwuBIWZ,51
R_UhGBgdLzzYr58cx,34
R_1qX3DuxtkTIawX6,76
R_2vdeAnvwaeFAHHT,26
R_0kbvQNjFLM3ly4F,58
R_5ouOa33sITanGUN,52
R_xaozzMeqeedTytb,52
R_bCyEbKDcCnAWHzX,40
R_3NCJr1AtKOCIlQA,55
R_1CycqYxpKD9T9fP,60
R_1dayMhoh6zi7aU3,71
R_1gLsYUklpOtSKKi,40
R_2zNNvKCsqW95sEx,28
R_3esqif9DND0BvlP,37
R_2BnzNYeKLHABEei,59
R_78TvEJjwcngMCC5,39
R_2Vg5bqPZwkwHHBa,30
R_3qQmEyFFe81RetG,26
R_2zA7PqgMnRtRch0,50
R_1rGHrE4AeR5OVtc,33
R_2xFweGhJLAzq67w,44
R_1Fx0CyjEtkJp8HH,40
R_dmAo18nipoUo01P,42
R_3jdEpi2f88Fxt6X,31
R_3esqm8P1TGQiXWn,34
R_30clJeA6EOjRyXF,52
R_2Yc6SfJ4pBU0LhE,35
R_4VNW993KgEpI1y1,53
R_3O99eIOG41rQJxK,49
R_3p3AGwwH3HQ2E2U,35
R_vo8Nk6htca3oSVr,43
R_3ErS29Wuo3PyqYf,38
R_26c1yUQHjvU2Q2U,61
R_1HUWB9OUpoLsb85,53
R_3r05gWBZNv3oDVT,34
R_3MrJK05ckHVPoFr,53
R_3CI9LX2JSkBEBp9,54
R_25vwnqZQHs8KOi1,25
R_1P0E1IQtUyneKLa,49
R_UtlXYDj6nldHej7,61
R_TuXrN7K9MU60NfH,38
R_Drh4IbY5y4dD80V,40
R_3Pi8tZLPuhAlc4n,47
R_26l7kB9bRy8pVu4,44
R_2c7t4ce15HrygLt,54
R_cXPmXIZEyd7bmlb,54
R_3oAZRRiyrf5C62H,54
R_2cpx51ZR3zG8iqc,44
R_Ti8WWLju9slkMWR,41
R_3no5gfxbsLn1tix,32
R_AumgWa6vNQuF8Pv,26
R_3FRLrjkcZAvrsXc,77
R_2dGF653Iti2venM,29
R_240N71KUQLypBZv,72
R_PHQXFBJHDYnf8rf,48
R_SAXGm8X0fNaBokx,64
R_2VPz8mGv8Hz7Gev,34
R_3D5OoaHb1uSLTwP,34
R_2B8IWAGu0YCZMZo,56
R_30dYRUS2IyEubaO,37
R_2tKyRFCOxxSFJSH,49
R_1IlVxyCf62k133i,42
R_ueNLUW2eyasQ8Vz,37
R_1FL1sl2bQ9EO7Kv,41
R_1hygt8O4ZUrRDeZ,45
R_bC7pmtkBYlCnUBj,20
R_bxdFJsmXs8A5czL,42
R_3CIYmTiKfc54UnM,35
R_3FJqk44Yjwk8Iqs,52
R_41LB9vf2fqXVkIh,37
R_bCMbH8Z9RZZxcyt,40
R_2qxFYuPq5uhWZc2,69
R_2xwSlWa05YTKMOa,59
R_2V8sGZxR6JX3UNX,55
R_bIRIZknxYfaajC1,44
R_1gd12wOeCAzyYmG,52
R_3dDJmO3jN6ksjPR,64
R_SOANdp9Q0THBKtb,40
R_2aqtyW3yugm7RxR,27
R_3iVTGvh2PRDJ9bZ,38
R_1QGYAYbNhtQJ2Hr,47
R_1Qynggc3R4avAbW,35
R_XGLKv3qOmXVDovn,69
R_3dXNtg6JmMb9erh,26
R_3MzB9GqOHOKDTPU,62
R_2cctD3EF1SeggEt,39
R_3k4IeCopUG6h3em,49
R_5baK5NHyIqJsuhH,60
R_3smKy3k5ZFewqpZ,56
R_1M3xst3cjJw8B75,54
R_3qfeX4wV3QyCbnf,46
R_3psQT5FTQpQoh8U,43
R_29oxKaKybevwqk3,54
R_1lgZneJ74vS8iBJ,33
R_1CCpln5Rc9d2Yh5,27
R_UAqTUK0sqS2U1lT,57
R_PY5z1wgICWptHIR,27
R_3LZtC0GtZQHyim1,47
R_2cBglFOiTfRErdJ,48
R_2OHWYfJZEABYMON,64
R_29mpbdaxrNaSdAL,76
R_1JIsOd1FybvxrHM,41
R_1r8l7R24m0ndQnE,47
R_1f3NrkWn97gKf1M,36
R_3kfRL33HVw4D3DH,59
R_0OjW4iu95SqNnNv,54
R_1fecmZb9Lw3O8Of,54
R_3qIOg5aK9dc7mhO,67
R_3L7PSnN7tlE5FzW,54
R_3hhanSyNTxC8Q2H,60
R_3E9Lr7XeQ4nXDpT,52
R_31MZN2vnt37uHwx,58
R_3Eut5y8QCzAkFDr,51
R_1k0pIlBojXOXzFO,52
R_11aUBJlzwmAC6EU,69
R_Y6aNQtin89wjOVj,54
R_D2FMequApyY5FOp,25
R_1lgxnxirsq3ZV1l,28
R_2qymCxEhO5wj1PS,55
R_31cSbDhd72iCnfs,46
R_WiJQOfnJDQV40Kt,64
R_1DOl3gFvSUmoHtY,71
R_1mgRO5VOvUSB5Mb,49
R_UcPgcAIOR577UYN,34
R_3qvxVnuOXt1Dmxz,49
R_2VlKLivXWxubH9i,34
R_3D5Uhf7xPgqNAd4,79
R_3iVlRj2JplVpipu,48
R_2c5ZVexmkc3MFak,45
R_xmW0N6ZVQaGjmZb,36
R_2zu0HLXCJXNeK7f,65
R_XU3TEb2MVRgDmE1,40
R_2tnc8pm29XutyXd,52
R_3090pIUtSt1CXPN,38
R_2S6pyBUxlKXIvH5,57
R_3fiYTnZ5nOepYYD,44
R_3hbtVowoIVoUgRP,41
R_31RE4FjyOWYjC0y,49
R_22Q7TTMyjdPsu4h,58
R_BMu1uXYKi7FHH7X,55
R_2qdYoIHhFklZNMm,64
R_9Hodl7x8sLm2049,57
R_1Q3XRdeZY67Xjmq,46
R_1mzp68qID2H2ocC,31
R_xbK4ZnriRkBDbH3,34
R_1GJ3Gf7jynLmnQ8,52
R_271pWSBQp3hSG6W,22
R_1JWN4oX1MX0krvM,61
R_3JyZS5Y2JqsgQ5H,55
R_3EGs6zeFZEQiVLq,54
R_24CuCN2XZ6JcYTu,51
R_324Oz36PFhCB1d8,35
R_PMbteIVkWCRdiuZ,47
R_20qoaxxCKfKKxMZ,33
R_3mgg7JZhizGxXIR,39
R_2A1rHMHs1NYcNm6,53
R_1dAgAo796BTaJOk,40
R_12yF3DTKeRV5QRI,49
R_0iIREyvpIFthqTf,45
R_1rHXcvSBNAn4rTv,69
R_1jUGuPqDo1mmhkw,36
R_20OIRUgoMqACeD3,29
R_2RVSQMPKzVgYL6h,28
R_1jBpW6h69wqMoTx,39
R_1DMV4h1mtSOmAZu,51
R_2QnR2iFfFQcNuN2,50
R_AhXUPgJ7V7AQPtv,32
R_svAEZ1vGS4B6797,45
R_1o20dXDPgsl7KBH,64
R_SPK98FIrKiqc4CJ,62
R_3O69qS9dmIGLZhL,56
R_pB5bEbdRNHFh53X,46
R_0V5vMZ2TNuiRqr7,60
R_2bV1xC7UVTXajIb,49
R_2xWsOt5QnlWZ5Sa,43
R_2xCTzUxIkXeui7c,68
R_3PiZBN2lsKIntUc,47
R_1r3cArA6n0ECKtz,53
R_9oib22Jcbxdouyd,39
R_pDGjnqHpuWH9GUh,31
R_2y2yXfSUn9N1SYX,45
R_z6WT50yJE3Bq1QR,74
R_2yeFlNiIjw21oEW,46
R_1HjefsPZFanCmKg,48
R_3QQyGMHNidnKWL5,35
R_33v8AIPRaybvxyA,45
R_1MQkSoMChk7sTXw,47
R_1hKDDE9ZrTGci6F,65
R_3LcLYUWcZ9sL6eC,43
R_PtBRSswVJ2xzrHz,62
R_1K7Jhluw2kqvB13,43
R_3PcMi4Z7EwTko3j,52
R_1XsXDa7xidkxEtP,42
R_278UgboUPUZboYr,27
R_1JE2IMv2KDCMBzx,43
R_2PBE5RT6oi1FHAC,67
R_2f2GRToXU8urzQA,33
R_WrFuNkz6mtVM1mF,56
R_1d6L5YzaH3M57XO,24
R_2xyN6Jg30kcY8Zq,59
R_2tDSabm0Nrz2sfp,39
R_3qQzmWsCSq4FPj0,30
R_1BNzNd3avdtX59n,56
R_1g2fuMu8AyKzAwp,28
R_12fBneHOBYNHmBa,60
R_OsaELTaOH3SoHIt,59
R_1LMrbgvGGw5heGQ,35
R_2cCKt8wuD7cb0s2,54
R_1eFOt474tYiUiRu,39
R_2V86lRMHHrukNms,25
R_XvTa3GM51yxs2Mp,60
R_BqRHjIOmN3Goty1,48
R_1pQc7pMeZM8DkpQ,65
R_2qg74qEE5BZexfC,55
R_DCAqXAZvDJvTxFD,37
R_1l4tuKkFtbiHUxR,59
R_2wmd3WZguo0Z4yS,56
R_Qd0rzCdcuKT8AwN,71
R_1pSdKlBAp3xuFK0,28
R_2R9zT2ymMmeHtAT,59
R_1dFZXV7Kuxkqbal,64
R_2qxDTl6fT538Jew,62
R_1hLlpkDl5uPq1ig,50
R_2VILWEpuJu1Mhqf,42
R_2uvvVVIlaNq00wJ,50
R_338XC2MUCLjwg8i,37
R_1IuC2FSNQuGlIGi,56
R_3KDc7SPYw6fRlmI,50
R_3fJfPSVmVDNnwSV,23
R_2f2IXMSKwHtE6lM,49
R_0oM1mubG7kSBI5j,72
R_3FJ3gD6EtkynidO,32
R_3s0ldVvCOQ4W32X,32
R_1pAnOk9qESNyECU,49
R_2SrdIbHNBexuD3o,77
R_1rw8yKhSA3W9qXC,34
R_3fxByuAvCeKbQxO,37
R_2sSDPmSWlITdwSF,46
R_um1uN1qA26hCGWt,41
R_2TGnatRTVTtXdZv,51
R_1i84GM8iaYxQpwr,73
R_1k2jzpSOxqJDLBz,48
R_3U8btRYAldDTRdv,46
R_2Qujsn8vbH2TsQR,61
R_2c0jlTMhBAJXO0q,57
R_2OYFiKMWinUAaci,26
R_2usvWTFpHaVlKkm,48
R_Xi7Yzei0BplKWLD,36
R_3Gf8h8XZ9h8VUO8,38
R_ANh6iAuxAQvY4yl,34
R_3iP5p6LNMwv7D4R,55
R_2Sltw1kH15FVW9J,32
R_0umRlM1U0EyLkHf,24
R_3NP6EPoSsoVipsE,53
R_2aWghrhyDWsY42u,26
R_1ihuDojJrcpXLNg,44
R_3si5PTYvVhQ6EgQ,26
R_1mz8sVuiyAL69dF,64
R_2UVNPWoLvGiAwy3,50
R_By9R3WWznI3X01r,48
R_31aQ9gEKRlObl5M,56
R_2QfxwESUZh6u0Y2,51
R_5ceXpHy3e1wxRbr,48
R_1eDelLJ155MaXVk,51
R_2SH6xdfuTQD8hE0,44
R_PBPJ3yIr9mYT4ul,48
R_plUnCeVM4aprPOh,40
R_2zJ8wheXFgUtsp2,65
R_aas4BHO3SrACPJf,35
R_2b2ZnVVSalzLcAT,61
R_1pS9dY9HZTyHWAB,51
R_UZ1XNTVGIJFZzwt,51
R_1K7ohdK5Q59CJjN,51
R_24d7JuR2zFUPlHu,57
R_pyBFvQ1UFMyVIK5,42
R_1obhRNo9o9eaMVw,31
R_1f2hitQ0JlP9WkZ,48
R_3DdpZrzdbcWfFkx,96
R_21yAqy7pI8BneIG,47
R_71h71JKKxawMLpD,45
R_Avq8Ji8PRc5MwZr,36
R_3k7nEXsKJy0laVT,47
R_1dnxAEYI8mzccRc,41
R_3Kx4ROZZ7oLVcZ6,49
R_88rUOre21x1uFzj,76
R_cC20hRue5Oy1EYN,40
R_3Leji03PvJgFBms,50
R_1P2kjLFwGrWxDR9,51
R_Ab7lDskBQrDk2D7,37
R_3GeJ5XQqlZr5kjN,38
R_3Ev7K4bkBGzFNde,71
R_pF1ojzuWBJFkpix,63
R_3fwKeqvjtJVjycu,29
R_aeN23XaXeiSFq4V,48
R_2431TKGby5WF4qL,55
R_2YycfNwjQ1VQaB7,68
R_2Pu5gTSZXo9VrtA,48
R_vC56GzLk6WYapXj,44
R_rjPfu5ux8Li6f2F,54
R_3Kr7Z3fVypCkZCx,63
R_2U3NWy95703kp6w,53
R_DUjUFrSvxkhG6qd,42
R_2COhF7xzbZOLBX5,45
R_1IgCYAIgDzALYdu,40
R_1LAqRAUIPhGnVl3,27
R_3qR8I69QvnBJul6,41
R_tFG8EqAztnIQs01,51
R_3qINQiU2ZFB5t2Z,47
R_3Rkn2CaRBkbibiG,79
R_2qqJKMpYlq0lYGy,54
R_5dQGu6zFWvmL2i5,37
R_SC3oERhqSjMzVPH,48
R_vxekwlOshl0JqjT,69
R_1P0oXshBxdWHCzA,64
R_1IJYQ0FxrzNyXgs,47
R_9pHIDyklhb7sTHX,26
R_2SqRcTDhPqlqP5Z,47
R_3mn1u4b0rjxugpr,48
R_2qeBYa5lg3OhQrF,38
R_1C9rmH5YrNSnCeo,41
R_33a6yc2Z8LiRkbW,33
R_UH0lx5MPq16cutj,51
R_Tj8qurphwTEGlq1,43
R_SPnJPrSBAIHkRDr,73
R_Ti8VOCLSo4oYnoB,58
R_33sxL6AFD1hiyiP,55
R_214yDjSlcvaBcR4,48
R_2v8rV7Ca1iS18to,43
R_2CHQHhcbrNp8BpN,45
R_1eJY3HSRRwHb8dM,60
R_1GQeYoOIpPOgIZZ,52
R_udYsqAJwgPJcfFT,47
R_33fMDsIbpK5Us7d,45
R_ZgY60EB7a6aeqiZ,53
