respondent_id,Do you consider yourself to be an older adult?,I have heard _______________ about age discrimination.,In recent years I have been discriminated against or treated more negatively by others because of my older age.,In recent years I have avoided certain social settings out of concern that I might be treated negatively because of my age.,Age discrimination is too often excused.,Age discrimination is a major problem in our society.,I have had experiences with age discrimination that have caused me mental or emotional stress.,Age discrimination is taken too seriously.,Have you or anyone you know ever seen or been the target of discrimination in the workplace based on older age?,Have you or anyone you know ever seen or been the target of discrimination based on older age while applying or interviewing for jobs?,Have you or anyone you know ever seen discriminatory depictions of older age in product marketing or advertisements?,Have you or anyone you know ever seen discriminatory depictions of older age in television shows or movies?,How acceptable do you believe it is for organizations to use age-related information in algorithms to show you targeted ads for products and services?,How acceptable do you believe it is for organizations to use age-related information in algorithms to review employment applications?,How acceptable do you believe it is for organizations to use age-related information in algorithms to review applications for social services?,Have you ever been aware of an automated algorithm used to review an application of yours for a job or employment?,Have you ever been aware of an automated algorithm used to present you with a product advertisement?,Have you ever been aware of an automated algorithm used to review an application of yours for a public or social service?
R_1nOZMXdItb3ndyg,Yes,Some,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,No,No,No,Yes,Somewhat acceptable,Not very acceptable,Very acceptable,No,No,No
R_2DYyJkrMpwLQa1R,Yes,A great deal,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Yes,Yes,No,Yes,Very acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_1DNgjAY3UEWZ0cY,Yes,Some,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_um1uN1qA26hCGWt,No,Some,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,No,No,No,No,Very acceptable,Not at all acceptable,Not very acceptable,No,No,Yes
R_3iFkZsqgPlEdip0,Yes,Some,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,No,No,No,Yes,Not very acceptable,Somewhat acceptable,Somewhat acceptable,No,Yes,Yes
R_3O2oZt1CSyajAp3,Yes,Some,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_3hhxJZ7lbzmKDRa,Yes,Some,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Yes,Yes,No,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,Yes,Yes,Yes
R_yryBGY1HcMufVDP,Yes,Nothing,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,No,No,No,No,Very acceptable,Not very acceptable,Very acceptable,No,Yes,No
R_1Q583LMM1Y0MnTQ,Yes,Some,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Yes,Yes,Yes
R_ROat0DEbUWO4USZ,No,Some,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,No,No,Yes,Yes,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_2dYEKmjPPDzHdWK,Yes,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_88rUOre21x1uFzj,Yes,A little,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,No,No,No,No,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_2v8rV7Ca1iS18to,Yes,A great deal,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_0H7jeIMm5pV11fz,Yes,Some,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,No,No,No,Yes,Very acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_1Q5e81duDXvXxKj,Yes,Some,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,No,No,No,Yes,Not very acceptable,Not at all acceptable,Not very acceptable,No,Yes,No
R_1d0KM7jMHnInzID,Yes,A great deal,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_6Gpg9oK8GbVKrfz,Yes,Some,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,No,No,No,No,Somewhat acceptable,Not at all acceptable,Very acceptable,No,No,No
R_2P09pxi3f97SjmC,Yes,A great deal,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Yes,Yes,No,No,Very acceptable,Not very acceptable,Not very acceptable,No,Yes,No
R_2eWGOh7ayjbChpo,Yes,A little,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_2ZJilZyKgHWlt5P,Yes,A great deal,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,No,No,Yes,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_1laGR7wF0PmMJcj,No,Nothing,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_3NCJr1AtKOCIlQA,Yes,A great deal,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,No,Yes,No,No,Somewhat acceptable,Not at all acceptable,Very acceptable,No,No,No
R_32MhJB47fCWq7KD,No,A little,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_V23HpjP1cmZge8V,Yes,Some,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Yes,Yes,No,Yes,Not very acceptable,Not very acceptable,Very acceptable,No,No,No
R_33BfNBilcVzC8U2,No,A great deal,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Yes,Yes,No,Yes,Very acceptable,Not at all acceptable,Not at all acceptable,Yes,Yes,No
R_2Pcy0501eyoVd8a,No,Some,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Yes,Yes,No,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_1gd12wOeCAzyYmG,Yes,Some,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,No,Yes,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2CB8bFwIiD7UPAl,Yes,A little,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,No,No,No,No,Not very acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_1Cg5DUX77xWG2ND,Yes,A little,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Yes,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_3n5Z2koSHvfL0bV,Yes,Some,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not very acceptable,Not very acceptable,Yes,Yes,Yes
R_2wGeAUpcuEs8WaN,Yes,Nothing,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_1PRCfToAbB5NOji,Yes,A great deal,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly agree,No,Yes,Yes,Yes,Not very acceptable,Not at all acceptable,Not at all acceptable,No,No,Yes
R_ywDvzbV4XAoXdT3,No,Some,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,No,No,No,Yes,Very acceptable,Very acceptable,Very acceptable,Yes,Yes,Yes
R_23fqCP2xyvxhvHo,No,A little,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Yes,Yes,No,Yes,Not very acceptable,Not at all acceptable,Not at all acceptable,Yes,Yes,Yes
R_3ksNpGVv6TeL03H,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_1IFz89QfBk53UaJ,Yes,Some,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,No,No,No,Yes,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_2S8ozDhmRiAzwHg,No,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,Yes,Not at all acceptable,Not at all acceptable,Somewhat acceptable,No,Yes,No
R_3I00O7tcFvXRNKJ,Yes,A great deal,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Yes,Yes,Yes,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,Yes,Yes,Yes
R_uf86EkHpgoCjUlP,Yes,A great deal,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not at all acceptable,Not very acceptable,No,Yes,No
R_9pHIDyklhb7sTHX,Yes,Some,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Very acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_3e2JDNRfHnCqUUK,Yes,A great deal,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Yes,No,No,No,Somewhat acceptable,Not very acceptable,Not very acceptable,No,Yes,No
R_21hdFfkYi1EaoMU,Yes,A great deal,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not at all acceptable,Not at all acceptable,Yes,Yes,Yes
R_ZKKITeMMcbHiONb,Yes,A great deal,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Yes,Yes,Yes,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_1qfE8jBRwGoQYB4,Yes,A little,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Yes,Yes,No,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_2S6pyBUxlKXIvH5,No,A little,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_1qWBVU43ADdBaUa,No,Some,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_2agiE1FoB0vSu3u,Yes,A great deal,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,No,Yes,Yes,Yes,Not very acceptable,Not at all acceptable,Very acceptable,Yes,Yes,Yes
R_0kbvQNjFLM3ly4F,Yes,Some,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Not very acceptable,Yes,Yes,Yes
R_Qd0rzCdcuKT8AwN,Yes,A little,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,No,No,No,No,Not at all acceptable,Not very acceptable,Not at all acceptable,No,No,No
R_Ab7lDskBQrDk2D7,No,A little,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Not at all acceptable,Not very acceptable,Yes,No,No
R_3CWwpEOhXg9mfpQ,Yes,Some,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Yes,No,Yes,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Yes,Yes,No
R_r7QvEEt34le4JFL,Yes,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,No,No,No,Yes,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2yjgCV6xNUsmoGp,Yes,Nothing,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Yes,No,Yes,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_1N4l064VFkVK7jl,Yes,A little,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,No,No,Yes,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_1DYyN29PYh5nIbi,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,Yes,Not very acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_2qqtD5jRdF3OdML,Yes,A great deal,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_2U3NWy95703kp6w,Yes,Some,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Yes,Yes,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_Ti8WWLju9slkMWR,No,Some,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,Yes,No
R_2PBE5RT6oi1FHAC,Yes,A great deal,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Yes,Yes,Yes,Yes,Not very acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_2ykd9U8GslKbMXw,Yes,A great deal,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Yes,Yes,Yes,Yes,Not very acceptable,Not very acceptable,Not very acceptable,Yes,Yes,Yes
R_1o20dXDPgsl7KBH,No,A little,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Yes,Yes,No,No,Not very acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_10TA90gzTHOB5al,Yes,Some,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,No,No,No,Yes,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_DSLaYLs6eRb1Ihr,Yes,Some,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,Yes,No
R_3hxT6zUG7YN7ToR,Yes,Some,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,No,No,Yes,Yes,Somewhat acceptable,Not very acceptable,Very acceptable,No,No,No
R_XU3TEb2MVRgDmE1,Yes,A great deal,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_djrXeKvk3Yyj8LD,No,Nothing,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat agree,No,No,No,No,Very acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_2s4jqfM06qG2a8y,Yes,Some,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Very acceptable,Somewhat acceptable,No,No,Yes
R_2YWy0fi18vyjykm,Yes,A little,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,Yes,Not very acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_12ukZG5D6hWTEcJ,Yes,A great deal,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Yes,Yes,No,No,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_3KMBbuiM55IrkpY,Yes,Some,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,No,No,Yes,Yes,Not very acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_oYsCMz8oHw1bvDb,No,Some,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Not at all acceptable,Not very acceptable,No,No,No
R_Ckpav25wXJuefDP,No,Some,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,No,No,No,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_3smKy3k5ZFewqpZ,Yes,A little,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,No,No,No,Yes,Not very acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_2xDFZIRgOnGLuz5,Yes,A great deal,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Not very acceptable,No,Yes,No
R_264NBWeFENs9tQd,Yes,Some,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,Yes,No
R_3hlTH8Q3bBro5ki,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Somewhat acceptable,No,No,No
R_1i22eOWu41FbHwy,Yes,Some,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,No,No,No,Yes,Very acceptable,Somewhat acceptable,Very acceptable,No,No,No
R_2AFFwgHfnNWrfdP,Yes,A great deal,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,No,Yes,No,No,Somewhat acceptable,Somewhat acceptable,Not very acceptable,Yes,Yes,No
R_1DMV4h1mtSOmAZu,Yes,A great deal,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,No,No,No,No,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_2zShH7VGk0GGR66,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2wAcy90mVKvEczM,No,A little,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,No,No,No,Yes,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Yes,Yes,No
R_1DqX9JgqYpjqteY,No,A little,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,No,No,No,No,Not at all acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_2BgkeCD28gLORj2,Yes,A great deal,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Yes,Yes,Yes,Yes,Somewhat acceptable,Not at all acceptable,Not at all acceptable,No,No,No
R_2cu8eFy8oG40zjl,Yes,Some,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,No,Yes,No,No,Somewhat acceptable,Not at all acceptable,Somewhat acceptable,Yes,Yes,Yes
R_2PkghjHS7zr8mHt,Yes,A little,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,No,No,No,No,Somewhat acceptable,Not very acceptable,Not very acceptable,No,No,No
R_1oAAYv0fwaiktmL,Yes,Some,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,No,Yes,Yes,Yes,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_3hhlankvD2Zhzyi,Yes,Nothing,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,No,No,No
R_2xFweGhJLAzq67w,Yes,Some,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Yes,No,No,No,Somewhat acceptable,Not at all acceptable,Not very acceptable,No,No,No
R_2X4pWFHdnuwhjGl,Yes,A great deal,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,No,No,No,No,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Yes,Yes,Yes
R_1Lh4K1EjpnRs3iE,Yes,Some,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,No,No,No,No,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_1BNzNd3avdtX59n,Yes,A little,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,No,No,Yes,Yes,Not very acceptable,Not at all acceptable,Not very acceptable,No,No,No
R_PBPJ3yIr9mYT4ul,Yes,Some,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,No,No,No,Yes,Not very acceptable,Not very acceptable,Not very acceptable,No,No,No
R_2VHZB37iIOcNPPd,Yes,Some,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Yes,Yes,No,Yes,Very acceptable,Not at all acceptable,Somewhat acceptable,No,No,No
R_SZyRPzLJzog9a9z,No,A great deal,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,No,No,No,No,Very acceptable,Not at all acceptable,Very acceptable,No,No,No
R_3D5Uhf7xPgqNAd4,Yes,Some,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Yes,Yes,No,Yes,Not at all acceptable,Not at all acceptable,Not at all acceptable,No,No,No
