respondent_id,Please indicate your age,Please indicate your race - Selected Choice,Please indicate your race - Other - Text,Are you Hispanic or Latino?,How would you describe the area where you grew up?,How would you describe the area in which you currently live?,In which region of the United States do you currently live?,Please indicate your annual household income,Education,Which employment status best describes you?,How would you describe your current living situation (check all that apply) - Selected Choice,How would you describe your current living situation (check all that apply) - Other - Text,Please indicate your political identification,Please indicate your gender
R_1Cg5DUX77xWG2ND,50-59,White,,No,Suburban,Suburban,South,"$25,000 - $34,999","High school graduate, GED, or equivalent",Unemployed,I live with a spouse or romantic partner,,Moderate,Female
R_3n5Z2koSHvfL0bV,60-69,White,,Yes,Suburban,Suburban,South,"$25,000 - $34,999",Some college or associate's degree,Working part-time,I live alone,,Moderate,Female
R_2wGeAUpcuEs8WaN,50-59,Other,Hispanic,Yes,Rural,Rural,Northeast,"Less than $10,000",Less than high school,Unemployed,I live with a spouse or romantic partner,,Very conservative,Female
R_1PRCfToAbB5NOji,70-79,White,,No,Suburban,Suburban,Northeast,"$25,000 - $34,999","High school graduate, GED, or equivalent",Retired,I live with a spouse or romantic partner,,Very conservative,Male
R_ywDvzbV4XAoXdT3,50-59,White,,No,Urban,Suburban,South,"$150,000 - $199,999",Graduate or professional degree,Working full-time,I live with a spouse or romantic partner,,Somewhat liberal,Male
R_23fqCP2xyvxhvHo,60-69,Black or African American,,No,Urban,Urban,Northeast,"$100,000 - $149,999",Bachelor's degree,Working full-time,I live with a spouse or romantic partner,,Moderate,Female
R_3ksNpGVv6TeL03H,50-59,Black or African American,,No,Rural,Rural,Northeast,"$35,000 - $49,999",Some college or associate's degree,Unemployed,I live with family members,,Moderate,Female
R_1IFz89QfBk53UaJ,60-69,White,,No,Suburban,Suburban,Northeast,"$100,000 - $149,999",Some college or associate's degree,Working full-time,I live alone,,Moderate,Female
R_2S8ozDhmRiAzwHg,50-59,White,,No,Urban,Urban,Northeast,"$35,000 - $49,999",Graduate or professional degree,Working full-time,I live alone,,Very liberal,Female
R_3I00O7tcFvXRNKJ,70-79,White,,No,Urban,Urban,South,"$75,000 - $99,999",Graduate or professional degree,Working full-time,I live with a spouse or romantic partner,,Very conservative,Male
R_uf86EkHpgoCjUlP,50-59,White,,No,Rural,Rural,Midwest,"$50,000 - $74,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Very liberal,Female
R_9pHIDyklhb7sTHX,70-79,White,,No,Suburban,Suburban,Northeast,"$150,000 - $199,999",Graduate or professional degree,Retired,I live with a spouse or romantic partner,,Somewhat liberal,Male
R_3e2JDNRfHnCqUUK,70-79,White,,No,Suburban,Suburban,South,"$75,000 - $99,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Very liberal,Male
R_21hdFfkYi1EaoMU,60-69,White,,No,Suburban,Suburban,Northeast,"$100,000 - $149,999","High school graduate, GED, or equivalent",Unemployed,I live with a spouse or romantic partner,,Somewhat conservative,Female
R_ZKKITeMMcbHiONb,70-79,White,,No,Urban,Urban,Midwest,"$35,000 - $49,999",Graduate or professional degree,Retired,I live alone,,Somewhat liberal,Male
R_1qfE8jBRwGoQYB4,60-69,White,,No,Rural,Suburban,South,"$10,000 - $14,999",Bachelor's degree,Working part-time,I live alone,,Moderate,Female
R_2S6pyBUxlKXIvH5,50-59,White,,No,Suburban,Suburban,West,"$50,000 - $74,999",Some college or associate's degree,Working full-time,I live alone,,Somewhat liberal,Female
R_1qWBVU43ADdBaUa,50-59,Black or African American,,No,Suburban,Suburban,Midwest,"$35,000 - $49,999",Graduate or professional degree,Working full-time,I live with family members,,Moderate,Female
R_2agiE1FoB0vSu3u,70-79,White,,No,Urban,Urban,Northeast,"$15,000 - $24,999","High school graduate, GED, or equivalent",Retired,I live with family members,,Moderate,Female
R_0kbvQNjFLM3ly4F,70-79,White,,No,Rural,Rural,South,"$15,000 - $24,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Very conservative,Male
R_Qd0rzCdcuKT8AwN,50-59,White,,No,Rural,Rural,Northeast,"$75,000 - $99,999",Some college or associate's degree,On disability,I live with a spouse or romantic partner,,Very conservative,Female
R_Ab7lDskBQrDk2D7,50-59,White,,No,Urban,Urban,South,"$25,000 - $34,999","High school graduate, GED, or equivalent",Working full-time,I live with family members,,Moderate,Female
R_3CWwpEOhXg9mfpQ,50-59,White,,No,Rural,Rural,Northeast,"$15,000 - $24,999",Less than high school,Working part-time,I live alone,,Very conservative,Female
R_r7QvEEt34le4JFL,60-69,White,,No,Suburban,Suburban,West,"$100,000 - $149,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Very conservative,Male
R_2yjgCV6xNUsmoGp,60-69,Other,Caucasian,No,Urban,Suburban,Midwest,"$25,000 - $34,999",Some college or associate's degree,Working part-time,I live with family members,,Moderate,Female
R_1N4l064VFkVK7jl,50-59,Black or African American,,No,Suburban,Urban,South,"$15,000 - $24,999",Some college or associate's degree,Unemployed,I live with a spouse or romantic partner,,Moderate,Female
R_1DYyN29PYh5nIbi,60-69,White,,No,Suburban,Suburban,Northeast,"$50,000 - $74,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Somewhat conservative,Female
R_2qqtD5jRdF3OdML,70-79,Black or African American,,No,Suburban,Suburban,South,"Less than $10,000","High school graduate, GED, or equivalent",Unemployed,Other,kids,Somewhat liberal,Female
R_2U3NWy95703kp6w,60-69,Black or African American,,No,Urban,Urban,Northeast,"$35,000 - $49,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Somewhat liberal,Female
R_Ti8WWLju9slkMWR,50-59,Middle Eastern,,No,Urban,Urban,West,"$75,000 - $99,999",Some college or associate's degree,Working full-time,I live with family members,,Somewhat liberal,Female
R_2PBE5RT6oi1FHAC,60-69,Other,Multi,No,Suburban,Rural,West,"$75,000 - $99,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Moderate,Female
R_2ykd9U8GslKbMXw,60-69,Black or African American,,No,Urban,Urban,South,"$75,000 - $99,999",Some college or associate's degree,On disability,I live with a spouse or romantic partner,,Moderate,Female
R_1o20dXDPgsl7KBH,50-59,Asian,,No,Urban,Rural,South,"$50,000 - $74,999",Some college or associate's degree,Unemployed,I live with a spouse or romantic partner,,Moderate,Female
R_10TA90gzTHOB5al,60-69,White,,No,Rural,Rural,West,"$15,000 - $24,999","High school graduate, GED, or equivalent",Retired,I live alone,,Moderate,Female
R_DSLaYLs6eRb1Ihr,60-69,Black or African American,,No,Urban,Urban,West,"$35,000 - $49,999",Some college or associate's degree,Retired,I live alone,,Very liberal,Female
R_3hxT6zUG7YN7ToR,50-59,Asian,,No,Urban,Urban,West,"$50,000 - $74,999",Bachelor's degree,Retired,I live with family members,,Moderate,Male
R_XU3TEb2MVRgDmE1,70-79,Black or African American,,No,Urban,Urban,South,"$35,000 - $49,999",Some college or associate's degree,Working full-time,I live alone,,Moderate,Female
R_djrXeKvk3Yyj8LD,50-59,Black or African American,,No,Suburban,Suburban,South,"$75,000 - $99,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Very liberal,Female
R_2s4jqfM06qG2a8y,60-69,Black or African American,,No,Urban,Urban,South,"$15,000 - $24,999",Some college or associate's degree,Unemployed,I live alone,,Moderate,Male
R_2YWy0fi18vyjykm,50-59,Asian,,No,Suburban,Suburban,West,"More than $200,000",Graduate or professional degree,Working full-time,I live with a spouse or romantic partner,,Moderate,Female
R_12ukZG5D6hWTEcJ,60-69,Black or African American,,No,Rural,Suburban,Midwest,"$75,000 - $99,999","High school graduate, GED, or equivalent",Retired,I live with a spouse or romantic partner,,Moderate,Female
R_3KMBbuiM55IrkpY,50-59,Native Hawaiian or Pacific Islander,,No,Rural,Suburban,West,"$50,000 - $74,999",Bachelor's degree,Working full-time,I live alone,,Somewhat liberal,Female
R_oYsCMz8oHw1bvDb,50-59,Asian,,No,Urban,Suburban,South,"$50,000 - $74,999",Graduate or professional degree,Working full-time,I live alone,,Somewhat conservative,Female
R_Ckpav25wXJuefDP,60-69,White,,No,Rural,Suburban,South,"$100,000 - $149,999",Graduate or professional degree,Working full-time,I live with a spouse or romantic partner,,Very conservative,Male
R_3smKy3k5ZFewqpZ,60-69,White,,No,Urban,Urban,Midwest,"$50,000 - $74,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Moderate,Female
R_2xDFZIRgOnGLuz5,60-69,Black or African American,,No,Urban,Urban,Midwest,"$15,000 - $24,999",Some college or associate's degree,Retired,I live alone,,Very liberal,Female
R_264NBWeFENs9tQd,50-59,Asian,,No,Suburban,Suburban,West,"$25,000 - $34,999","High school graduate, GED, or equivalent",Unemployed,I live with a spouse or romantic partner,,Moderate,Female
R_3hlTH8Q3bBro5ki,80-89,Asian,,No,Urban,Urban,West,"$50,000 - $74,999",Bachelor's degree,Retired,I live alone,,Moderate,Female
R_1i22eOWu41FbHwy,60-69,Black or African American,,No,Urban,Urban,West,"$50,000 - $74,999",Some college or associate's degree,Retired,I live with family members,,Somewhat liberal,Female
R_2AFFwgHfnNWrfdP,50-59,Black or African American,,No,Suburban,Suburban,South,"$10,000 - $14,999",Bachelor's degree,Working full-time,I live alone,,Moderate,Female
R_1DMV4h1mtSOmAZu,60-69,Black or African American,,No,Urban,Urban,Northeast,"$25,000 - $34,999","High school graduate, GED, or equivalent",On disability,I live alone,,Moderate,Female
R_2zShH7VGk0GGR66,60-69,Asian,,No,Urban,Urban,West,"$50,000 - $74,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Somewhat liberal,Male
R_2wAcy90mVKvEczM,50-59,Asian,,No,Suburban,Suburban,Midwest,"$35,000 - $49,999",Graduate or professional degree,Working full-time,I live with family members,,Somewhat conservative,Female
R_1DqX9JgqYpjqteY,50-59,Asian,,No,Suburban,Suburban,West,"$50,000 - $74,999",Bachelor's degree,Working full-time,I live with family members,,Very liberal,Female
R_2BgkeCD28gLORj2,60-69,Black or African American,,No,Urban,Urban,South,"$35,000 - $49,999",Bachelor's degree,On disability,I live with a spouse or romantic partner,,Moderate,Female
R_2cu8eFy8oG40zjl,50-59,Asian,,No,Urban,Urban,South,"$25,000 - $34,999",Some college or associate's degree,Working full-time,I live with family members,,Moderate,Female
R_2PkghjHS7zr8mHt,50-59,Asian,,No,Urban,Urban,West,"$35,000 - $49,999",Bachelor's degree,Working full-time,I live alone,,Very liberal,Female
R_1oAAYv0fwaiktmL,70-79,Asian,,No,Suburban,Suburban,West,"$100,000 - $149,999",Bachelor's degree,Working part-time,I live with a spouse or romantic partner,,Moderate,Female
R_3hhlankvD2Zhzyi,60-69,Black or African American,,No,Rural,Suburban,South,"$15,000 - $24,999",Graduate or professional degree,Retired,I live alone,,Moderate,Female
R_2xFweGhJLAzq67w,60-69,Asian,,No,Suburban,Suburban,Midwest,"$50,000 - $74,999",Graduate or professional degree,Retired,I live with family members,,Very liberal,Female
R_2X4pWFHdnuwhjGl,60-69,Black or African American,,No,Urban,Urban,West,"$25,000 - $34,999","High school graduate, GED, or equivalent",Working part-time,I live with a spouse or romantic partner,,Very liberal,Female
R_1Lh4K1EjpnRs3iE,60-69,Asian,,No,Suburban,Suburban,West,"$10,000 - $14,999",Bachelor's degree,Unemployed,I live alone,,Moderate,Male
R_1BNzNd3avdtX59n,60-69,Asian,,No,Rural,Suburban,West,"$35,000 - $49,999",Some college or associate's degree,Working full-time,I live alone,,Somewhat liberal,Female
R_PBPJ3yIr9mYT4ul,50-59,Black or African American,,No,Suburban,Suburban,South,"$25,000 - $34,999",Some college or associate's degree,Working full-time,I live with a spouse or romantic partner,,Very conservative,Female
R_2VHZB37iIOcNPPd,50-59,Asian,,No,Urban,Suburban,West,"More than $200,000",Graduate or professional degree,Working full-time,I live with a spouse or romantic partner,,Moderate,Male
R_SZyRPzLJzog9a9z,50-59,Black or African American,,No,Urban,Rural,South,"$100,000 - $149,999",Graduate or professional degree,Working full-time,I live alone,,Very liberal,Male
R_3D5Uhf7xPgqNAd4,60-69,White,,No,Urban,Urban,Northeast,"$50,000 - $74,999",Graduate or professional degree,Retired,I live alone,,Somewhat liberal,Female
R_3fP575Tw6XFk2ZQ,60-69,Asian,,No,Suburban,Suburban,South,"$35,000 - $49,999",Graduate or professional degree,Working full-time,I live with a spouse or romantic partner,,Somewhat conservative,Male
R_1KpwrwuYFht9QlF,50-59,Asian,,No,Urban,Urban,South,"$50,000 - $74,999",Graduate or professional degree,Working full-time,I live with family members,,Moderate,Male
R_1li4lD3uv2VDZUW,50-59,White,,No,Rural,Suburban,West,"$50,000 - $74,999",Bachelor's degree,Working full-time,I live with a spouse or romantic partner,,Moderate,Male
R_UsBspFZ1keMn25H,50-59,White,,No,Suburban,Suburban,South,"$50,000 - $74,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Moderate,Female
R_xaozzMeqeedTytb,70-79,Asian,,No,Urban,Urban,West,"$10,000 - $14,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Somewhat conservative,Female
R_2qyqPAm16Pb5kVe,50-59,Asian,,No,Urban,Urban,West,"$50,000 - $74,999",Bachelor's degree,Working full-time,I live alone,,Somewhat liberal,Male
R_3noNQjsySx9r78f,50-59,White,,No,Suburban,Suburban,South,"$25,000 - $34,999",Bachelor's degree,Working full-time,I live alone,,Somewhat conservative,Female
R_SAXGm8X0fNaBokx,50-59,Asian,,No,Suburban,Suburban,South,"$100,000 - $149,999",Bachelor's degree,Working full-time,I live with a spouse or romantic partner,,Moderate,Female
R_AoYsJoylwmh036x,60-69,Asian,,No,Urban,Urban,West,"$100,000 - $149,999",Bachelor's degree,Working full-time,I live with a spouse or romantic partner,,Moderate,Male
R_25LRQB6uCd0niOP,50-59,Asian,,No,Urban,Suburban,Northeast,"$75,000 - $99,999",Bachelor's degree,Working part-time,I live with a spouse or romantic partner,,Moderate,Female
R_1IJYQ0FxrzNyXgs,70-79,Asian,,No,Suburban,Suburban,West,"$35,000 - $49,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Moderate,Female
R_1IGKuHpqNgRsv3A,60-69,Asian,,No,Urban,Urban,West,"$50,000 - $74,999",Some college or associate's degree,Unemployed,I live with a spouse or romantic partner,,Somewhat liberal,Male
R_WATTDuUCKWZ7kGt,50-59,Asian,,No,Suburban,Suburban,West,"$100,000 - $149,999",Graduate or professional degree,Working full-time,I live with a spouse or romantic partner,,Somewhat conservative,Male
R_3Ppi5OxmkRn4BHO,50-59,Asian,,No,Suburban,Rural,West,"$75,000 - $99,999",Bachelor's degree,Working full-time,I live with a spouse or romantic partner,,Somewhat conservative,Female
R_1NwAxruExoyiPmh,50-59,White,,No,Rural,Rural,Northeast,"$25,000 - $34,999",Some college or associate's degree,Working full-time,I live with family members,,Moderate,Female
R_2vYZYBg3WNdSun8,50-59,Asian,,No,Suburban,Suburban,West,"$75,000 - $99,999",Some college or associate's degree,Working full-time,I live alone,,Somewhat conservative,Male
R_3iVlRj2JplVpipu,60-69,Asian,,No,Suburban,Suburban,West,"$75,000 - $99,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Somewhat liberal,Female
R_1N2Gk2S31EYcd6V,50-59,White,,No,Suburban,Suburban,South,"$50,000 - $74,999",Some college or associate's degree,On disability,I live with a spouse or romantic partner,,Moderate,Female
R_WiJQOfnJDQV40Kt,50-59,White,,No,Suburban,Suburban,Northeast,"$75,000 - $99,999",Bachelor's degree,Working full-time,I live with a spouse or romantic partner,,Moderate,Male
R_8jlLpim52ADcdvH,60-69,White,,No,Urban,Suburban,Midwest,"$35,000 - $49,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Somewhat conservative,Male
R_1HUWB9OUpoLsb85,50-59,White,,No,Suburban,Suburban,Northeast,"$150,000 - $199,999",Some college or associate's degree,Working part-time,I live with a spouse or romantic partner,,Moderate,Female
R_2qxFYuPq5uhWZc2,70-79,White,,No,Rural,Rural,West,"$100,000 - $149,999",Graduate or professional degree,Retired,I live with a spouse or romantic partner,,Somewhat liberal,Female
R_6thuPBQlqPBThNn,70-79,White,,No,Rural,Rural,Northeast,"$35,000 - $49,999",Some college or associate's degree,Working part-time,I live with family members,,Somewhat liberal,Female
R_sTBsVGLwabVrOEx,70-79,White,,No,Suburban,Suburban,West,"More than $200,000",Bachelor's degree,Working full-time,I live with family members,,Moderate,Female
R_1rxAD567hiwFbjA,70-79,White,,No,Urban,Urban,Northeast,"$50,000 - $74,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Very conservative,Female
R_1OYLVNrLGMExf0b,60-69,White,,No,Suburban,Suburban,Midwest,"$75,000 - $99,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Moderate,Female
R_r9o18eVBHlLRU2J,70-79,White,,No,Urban,Suburban,Midwest,"$50,000 - $74,999","High school graduate, GED, or equivalent",Retired,I live alone,,Moderate,Male
R_2as4UmC9fyw0RRl,60-69,White,,No,Urban,Urban,Northeast,"$75,000 - $99,999",Graduate or professional degree,Working full-time,I live alone,,Somewhat liberal,Male
R_1XsXDa7xidkxEtP,50-59,White,,No,Rural,Suburban,Northeast,"More than $200,000",Graduate or professional degree,Working full-time,I live alone,,Somewhat liberal,Male
R_2ZEwAyRpJV4TYu8,70-79,White,,No,Rural,Rural,Midwest,"$50,000 - $74,999",Bachelor's degree,Retired,I live alone,,Somewhat liberal,Male
R_2R9xpsSEZyV8lde,60-69,White,,No,Suburban,Suburban,Midwest,"$50,000 - $74,999",Bachelor's degree,Working full-time,I live alone,,Somewhat conservative,Male
R_3imYcWlmQnstnAD,60-69,White,,No,Rural,Rural,Midwest,"$35,000 - $49,999",Bachelor's degree,Working part-time,I live alone,,Very conservative,Male
R_3QGaeiPkGvOtwA2,60-69,White,,No,Suburban,Suburban,South,"$50,000 - $74,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Somewhat liberal,Male
R_szYTLzDg5nNHFrH,70-79,White,,No,Urban,Urban,West,"$25,000 - $34,999",Some college or associate's degree,Retired,I live alone,,Somewhat conservative,Male
R_3HCgz2GFveFwgI9,60-69,White,,No,Rural,Rural,South,"$50,000 - $74,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Very conservative,Male
R_0Du2zxNGDtmSP3r,60-69,White,,No,Suburban,Suburban,South,"$15,000 - $24,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Very liberal,Male
R_3s7C7lCMEKWloJg,60-69,White,,No,Urban,Urban,Northeast,"$50,000 - $74,999",Graduate or professional degree,Retired,I live alone,,Moderate,Male
R_2BsNEOv9GvYQTB0,50-59,White,,No,Urban,Suburban,Northeast,"$35,000 - $49,999","High school graduate, GED, or equivalent",Unemployed,I live with family members,,Moderate,Male
R_268sez2RlTMqX3y,70-79,White,,No,Urban,Urban,Northeast,"$100,000 - $149,999",Graduate or professional degree,Working part-time,I live with a spouse or romantic partner,,Somewhat conservative,Male
R_qwmnzb4bPmEmXxT,50-59,White,,No,Urban,Urban,West,"$25,000 - $34,999","High school graduate, GED, or equivalent",Working part-time,I live with a spouse or romantic partner,,Moderate,Male
R_1ihuDojJrcpXLNg,60-69,White,,No,Suburban,Suburban,South,"$75,000 - $99,999",Bachelor's degree,Working full-time,I live alone,,Moderate,Male
R_1LAqRAUIPhGnVl3,80-89,White,,No,Urban,Urban,Midwest,"$50,000 - $74,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Somewhat conservative,Male
R_1dyq5MsaLv9kEMH,50-59,White,,No,Urban,Urban,Northeast,"More than $200,000",Graduate or professional degree,Working full-time,I live with a spouse or romantic partner,,Moderate,Male
R_26nqwtkjA3Kiv6h,60-69,White,,No,Suburban,Suburban,Northeast,"$50,000 - $74,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Somewhat conservative,Male
R_2DMjv1AWbwHBuiv,70-79,White,,No,Suburban,Urban,Midwest,"$15,000 - $24,999",Some college or associate's degree,Retired,I live alone,,Somewhat conservative,Male
R_1q1U49NE2TnPlq2,70-79,White,,No,Suburban,Suburban,South,"$100,000 - $149,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Somewhat liberal,Male
R_3k5jusWutxjfG31,60-69,White,,No,Suburban,Suburban,Northeast,"$100,000 - $149,999","High school graduate, GED, or equivalent",Working part-time,I live alone,,Somewhat liberal,Male
R_3CIYnwQTsAhPSbN,70-79,White,,No,Urban,Suburban,South,"$50,000 - $74,999",Some college or associate's degree,Retired,I live with a spouse or romantic partner,,Somewhat liberal,Male
R_2Vg5bqPZwkwHHBa,60-69,White,,No,Rural,Rural,South,"$100,000 - $149,999",Bachelor's degree,Retired,I live with a spouse or romantic partner,,Very conservative,Male
